address,amenities,buildingSize,city,extraInfo,listingDate,listingID,price,propType,spaceAvailable,spaces,state,status,subType,transport,utilities
2350 Twelfth Ave,"Bus Line,Cooler","17,584 SF",New York,"Rental Rate,$27.00 /SF/YR,Rentable Building Area,17,584 SF,Property Type,Industrial,Year Built,1931,Property Subtype,Warehouse",11/8/2018,14322029,$2.25 SF/Mo,Industrial,"4,833 - 17,584 SF",3 Spaces,NY,For Lease,Industrial,"[('137 Street-City College Transit Stop', '7 min walk', '0.3 mi'), ('125 Street', '12 min walk', '0.6 mi'), ('135 Street', '14 min walk', '0.7 mi'), ('145 Street', '14 min walk', '0.7 mi'), ('125 Street', '20 min walk', '1.0 mi'), ('Harlem-125th Street Station Commuter Rail (Hudson, Harlem, New Haven Lines)', '4 min drive', '1.9 mi'), ('Yankees-E 153rd Street Station Commuter Rail (Hudson Line)', '7 min drive', '3.1 mi'), ('La Guardia Airport', '16 min drive', '7.9 mi'), ('John F. Kennedy International Airport', '29 min drive', '19.0 mi'), ('Newark Liberty International Airport', '35 min drive', '20.2 mi'), ('NY - Red Hook Container Terminal', '23 min drive', '13.9 mi'), ('CSX INTERMODAL-LITTLE FERRY-NJ', '16 min drive', '9.4 mi')]","Lighting - Fluorescent,Gas - Natural,Water - City Water,Sewer - City Sewer"
348 Old Niskayuna Rd,Fenced Lot,"63,752 SF",Albany,"Rental Rate,$7.75 /SF/YR,Rentable Building Area,63,752 SF,Property Type,Industrial,Year Built,2020,Property Subtype,Warehouse,Construction Status,Under Construction",11/8/2018,14331836,$0.65 SF/Mo,Industrial,"27,105 SF",1 Space,NY,For Lease,Industrial,,"Gas,Water,Heating - Gas"
58-38 59th St,"24 Hour Access,Bus Line,Property Manager on Site,Security System,Signage,Roof Terrace,Storage Space,Fluorescent Lighting,Air Conditioning","13,692 SF",Maspeth,"Rental Rate,$20.00 /SF/YR,Rentable Building Area,13,692 SF,Property Type,Industrial,Year Built,2010,Property Subtype,Warehouse",8/1/2019,16784583,$1.67 SF/Mo,Industrial,"5,000 SF",1 Space,NY,For Lease,Industrial,"[('Woodside Station Commuter Rail (Ronkonkoma Branch, Long Beach Branch, Port Jefferson Branch, Hempstead Branch, Montauk Branch, Port Washington Branch, Far Rockaway Branch, Babylon Branch)', '6 min drive', '2.2 mi'), ('Hunterspoint Avenue Station Commuter Rail (Oyster Bay Branch, Hempstead Branch)', '7 min drive', '3.0 mi'), ('La Guardia Airport', '11 min drive', '5.4 mi'), ('John F. Kennedy International Airport', '18 min drive', '12.2 mi'), ('Newark Liberty International Airport', '37 min drive', '17.2 mi'), ('NY - Red Hook Container Terminal', '14 min drive', '7.1 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '6 min drive', '2.4 mi')]","Lighting - Fluorescent,Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Gas"
22 Sawgrass Dr,"Property Manager on Site,Air Conditioning","11,900 SF",Bellport,"Rental Rate,$13.95 /SF/YR,Property Subtype,Warehouse,Min. Divisible,1,300 SF,Rentable Building Area,11,900 SF,Property Type,Industrial,Year Built,2003",2/27/2020,17099858,$1.16 SF/Mo,Industrial,"1,300 - 2,150 SF",1 Space,NY,For Lease,Office,"[('Bellport Station Commuter Rail (Montauk Branch)', '6 min drive', '2.5 mi'), ('Yaphank Station Commuter Rail (Greenport Branch)', '8 min drive', '3.6 mi'), ('Long Island MacArthur Airport', '18 min drive', '10.3 mi'), ('NY - Red Hook Container Terminal', '79 min drive', '61.5 mi'), ('Pinter Warehouse', '33 min drive', '22.8 mi')]",
7940 Cooper Ave,,"15,000 SF",Flushing,"Rental Rate,$48.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,1,000 SF,Rentable Building Area,15,000 SF,Property Type,Industrial,Year Built,2019",10/1/2019,17338982,$4.00 SF/Mo,Industrial,"1,000 - 5,000 SF",1 Space,NY,For Lease,Industrial,"[('Forest Hills Station Commuter Rail (Long Beach Branch, Port Jefferson Branch, Hempstead Branch, Babylon Branch)', '6 min drive', '2.0 mi'), ('Kew Gardens Station Commuter Rail (Long Beach Branch, Port Jefferson Branch, Hempstead Branch, Babylon Branch)', '6 min drive', '2.4 mi'), ('La Guardia Airport', '14 min drive', '7.0 mi'), ('John F. Kennedy International Airport', '15 min drive', '9.2 mi'), ('Newark Liberty International Airport', '42 min drive', '19.9 mi'), ('NY - Red Hook Container Terminal', '17 min drive', '8.4 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '3 min drive', '1.0 mi')]",
417-429 State St,"Bus Line,Signage","35,373 SF",Rochester,"Rental Rate,$3.36 /SF/YR,Rentable Building Area,35,373 SF,Property Type,Industrial,Year Built,1950,Property Subtype,Warehouse,Cross Streets,Brown St.",11/1/2019,17607004,$0.28 SF/Mo,Industrial,"2,500 SF",1 Space,NY,For Lease,Office,"[('Greater Rochester International Airport', '9 min drive', '4.5 mi'), ('Albany, NY Port', '269 min drive', '227.8 mi'), ('J. MacKenzie Limited', '17 min drive', '8.0 mi')]",
758 Humboldt St,"24 Hour Access,Security System,Storage Space","22,000 SF",Brooklyn,"Rental Rate,$25.00 /SF/YR,Rentable Building Area,22,000 SF,Property Type,Industrial,Year Built,1931,Property Subtype,Warehouse",12/4/2019,17867502,$2.08 SF/Mo,Industrial,"7,500 SF",1 Space,NY,For Lease,Industrial,"[('Nassau Avenue Transit Stop', '(G)', '9 min walk'), ('0.4 mi', 'Greenpoint Avenue Transit Stop', '(G)'), ('14 min walk', '0.7 mi', 'Graham Avenue Transit Stop'), ('20 min walk', '1.0 mi', 'Hunterspoint Avenue Station Commuter Rail (Oyster Bay Branch, Hempstead Branch)'), ('5 min drive', '1.6 mi', 'Long Island City Station Commuter Rail (Hempstead Branch)'), ('6 min drive', '2.2 mi', 'La Guardia Airport'), ('12 min drive', '6.3 mi', 'John F. Kennedy International Airport'), ('22 min drive', '14.7 mi', 'Newark Liberty International Airport'), ('36 min drive', '19.2 mi', 'NY - Red Hook Container Terminal'), ('12 min drive', '5.7 mi', 'NEW YORK AND ATLANTIC RAILWAY'), ('11 min drive', '4.8 mi')]",Heating - Gas
333 Stagg St,,"16,600 SF",Brooklyn,"Rental Rate,$35.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,1,800 SF,Rentable Building Area,16,600 SF,Property Type,Industrial,Year Built,1903",1/13/2020,18145105,$2.92 SF/Mo,Industrial,"1,800 - 16,600 SF",2 Spaces,NY,For Lease,Industrial,"[('Grand Street', '8 min walk', '0.4 mi'), ('Montrose Avenue Transit Stop', '9 min walk', '0.4 mi'), ('Morgan Avenue Transit Stop', '9 min walk', '0.5 mi'), ('Graham Avenue Transit Stop', '14 min walk', '0.7 mi'), ('Jefferson Street Transit Stop', '19 min walk', '0.9 mi'), ('Hunterspoint Avenue Station Commuter Rail (Oyster Bay Branch, Hempstead Branch)', '8 min drive', '3.3 mi'), ('Nostrand Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '8 min drive', '3.3 mi'), ('La Guardia Airport', '13 min drive', '7.1 mi'), ('John F. Kennedy International Airport', '21 min drive', '12.2 mi'), ('Newark Liberty International Airport', '35 min drive', '15.7 mi'), ('NY - Red Hook Container Terminal', '12 min drive', '5.6 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '9 min drive', '3.3 mi')]",
21 Allen Ln,"24 Hour Access,Front Loading,Property Manager on Site,Security System,Fluorescent Lighting","7,000 SF",Bloomingburg,"Rental Rate,$14.57 /SF/YR,Rentable Building Area,7,000 SF,Property Type,Industrial,Year Built,2005,Property Subtype,Warehouse",1/27/2020,18314201,$1.21 SF/Mo,Industrial,700 SF,1 Space,NY,For Lease,Industrial,"[('Middletown New York Commuter Rail (Bergen County/Port Jervis, Main/Port Jervis Lines)', '14 min drive', '7.5 mi'), ('Otisville Commuter Rail (Bergen County/Port Jervis, Main/Port Jervis Lines)', '24 min drive', '9.8 mi'), ('Stewart International Airport', '37 min drive', '24.9 mi'), ('Port Newark Container Terminal', '99 min drive', '77.0 mi'), ('MHF, Inc.', '82 min drive', '67.2 mi')]","Lighting - Fluorescent,Water - Well,Sewer - Septic Field,Heating - Fired Oil"
3678 Oceanside Rd W,"Cooler,Fenced Lot,Mezzanine,Storage Space","20,000 SF",Oceanside,"Rental Rate,$16.00 /SF/YR,Rentable Building Area,20,000 SF,Property Type,Industrial,Year Built,1968,Property Subtype,Warehouse",2/1/2020,18524684,$1.33 SF/Mo,Industrial,"3,300 SF",1 Space,NY,For Lease,Industrial,"[('Oceanside Station Commuter Rail (Long Beach Branch)', '6 min drive', '2.5 mi'), ('Island Park Station Commuter Rail (Long Beach Branch)', '6 min drive', '2.7 mi')]","Lighting - Incandescent,Gas - Natural,Water - County Water,Sewer - County Sewer,Heating - Gas"
