address,amenities,buildingSize,city,extraInfo,listingDate,listingID,price,propType,spaceAvailable,spaces,state,status,subType,transport,utilities
3453 W Earll Dr,,"9,175 SF",Phoenix,"Rental Rate,$9.00 /SF/YR,Rentable Building Area,9,175 SF,Property Type,Industrial,Year Built,1997,Property Subtype,Warehouse",4/8/2020,19147873,$0.75 SF/Mo,Industrial,"9,175 SF",1 Space,AZ,For Lease,Industrial,"[('Phoenix Sky Harbor International Airport', '21 min drive', '13.4 mi'), ('Port of San Diego', '394 min drive', '352.6 mi'), ('FREEPORT LOGISTICS, INC.-PHOENIX-AZ', '5 min drive', '1.8 mi')]",
3641-3643 E 44th St,Signage,"16,420 SF",Tucson,"Rental Rate,$9.00 /SF/YR,Rentable Building Area,16,420 SF,Property Type,Industrial,Year Built,1979,Property Subtype,Warehouse",2/12/2020,12061657,$0.75 SF/Mo,Industrial,665 SF,1 Space,AZ,For Lease,Industrial,"[('Tucson International Airport', '13 min drive', '5.9 mi'), ('Port of San Diego', '441 min drive', '414.5 mi'), ('UP-TUSCON-AZ', '9 min drive', '4.3 mi')]",
5028-5042 S 71st St,,"46,713 SF",Mesa,"Rental Rate,$9.84 /SF/YR,Rentable Building Area,46,713 SF,Min. Divisible,23,356 SF,Year Built,2021,Property Type,Industrial,Construction Status,Proposed,Property Subtype,Warehouse",12/31/2019,18062021,$0.82 SF/Mo,Industrial,"23,356 - 46,713 SF",1 Space,AZ,For Lease,Industrial,"[('Phoenix Sky Harbor International Airport', '38 min drive', '27.0 mi'), ('Port of San Diego', '420 min drive', '375.9 mi'), ('Arizona Dairy Co.', '6 min drive', '3.3 mi')]",
1300 N Fiesta Blvd,"Bus Line,Fenced Lot","198,000 SF",Gilbert,"Rental Rate,$5.76 /SF/YR,Property Subtype,Manufacturing,Industrial Warehouse,Min. Divisible,100,000 SF,Rentable Building Area,198,000 SF,Property Type,Industrial,Year Built,1987",3/1/2019,4352094,$0.48 SF/Mo,Industrial,"100,000 - 198,000 SF",1 Space,AZ,For Lease,Industrial,"[('Phoenix Sky Harbor International Airport', '22 min drive', '14.2 mi'), ('Port of San Diego', '416 min drive', '370.3 mi'), ('Arizona Dairy Co.', '20 min drive', '13.5 mi')]",
5610-5648 N 51st Ave,Signage,"28,800 SF",Glendale,"Rental Rate,$8.40 /SF/YR,Rentable Building Area,28,800 SF,Property Type,Industrial,Year Built,1979,Property Subtype,Warehouse",12/11/2019,11568658,$0.70 SF/Mo,Industrial,"1,920 SF",1 Space,AZ,For Lease,Industrial,"[('Phoenix Sky Harbor International Airport', '28 min drive', '16.1 mi'), ('Port of San Diego', '396 min drive', '353.0 mi'), ('BNSF-PHOENIX INTERMODAL FACILITY', '3 min drive', '0.6 mi')]","Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Gas"
9132 W Cactus Rd,Air Conditioning,"40,990 SF",Peoria,"Rental Rate,$9.60 /SF/YR,Rentable Building Area,40,990 SF,Property Type,Industrial,Year Built,1982,Property Subtype,Warehouse",2/27/2020,14157323,$0.80 SF/Mo,Industrial,"756 - 2,456 SF",3 Spaces,AZ,For Lease,Industrial,"[('Phoenix Sky Harbor International Airport', '39 min drive', '23.0 mi'), ('Port of San Diego', '394 min drive', '353.4 mi'), ('BNSF-PHOENIX INTERMODAL FACILITY', '18 min drive', '8.6 mi')]",
1139 E Curry Rd,"Bus Line,Signage","31,600 SF",Tempe,"Rental Rate,$10.80 /SF/YR,Rentable Building Area,31,600 SF,Property Type,Industrial,Year Built,1985,Property Subtype,Warehouse",5/9/2019,16005288,$0.90 SF/Mo,Industrial,"3,300 SF",1 Space,AZ,For Lease,Industrial,"[('Phoenix Sky Harbor International Airport', '10 min drive', '5.5 mi'), ('Port of San Diego', '408 min drive', '364.8 mi'), ('UP-PHOENIX-AZ', '15 min drive', '8.3 mi')]",
121 S 25th St,,"4,581 SF",Phoenix,"Rental Rate,$11.00 /SF/YR,Rentable Building Area,4,581 SF,Property Type,Industrial,Year Built,1949,Property Subtype,Warehouse",10/14/2019,17449889,$0.92 SF/Mo,Industrial,"3,200 SF",1 Space,AZ,For Lease,Industrial,"[('24th St/Jefferson Transit Stop', '(METRO Light Rail)', '5 min walk'), ('0.2 mi', '24th St/Washington Transit Stop', '(METRO Light Rail)'), ('7 min walk', '0.3 mi', 'Phoenix Sky Harbor International Airport'), ('10 min drive', '4.6 mi', 'Port of San Diego'), ('400 min drive', '358.2 mi', 'UP-PHOENIX-AZ'), ('5 min drive', '1.9 mi')]",
75 W Baseline Rd,,"23,585 SF",Gilbert,"Rental Rate,$9.24 /SF/YR,Rentable Building Area,23,585 SF,Property Type,Industrial,Year Built,1985,Property Subtype,Warehouse",10/15/2019,17463860,$0.77 SF/Mo,Industrial,"5,794 SF",1 Space,AZ,For Lease,Industrial,"[('Phoenix Sky Harbor International Airport', '22 min drive', '14.1 mi'), ('Port of San Diego', '416 min drive', '372.6 mi'), ('Arizona Dairy Co.', '19 min drive', '12.4 mi')]",
1329 N 29th Ave,,"12,258 SF",Phoenix,"Rental Rate,$5.28 /SF/YR,Rentable Building Area,12,258 SF,Property Type,Industrial,Year Built,2003,Property Subtype,Warehouse",10/21/2019,17511573,$0.44 SF/Mo,Industrial,"8,172 SF",1 Space,AZ,For Lease,Industrial,,
