address,amenities,buildingSize,city,extraInfo,listingDate,listingID,price,propType,spaceAvailable,spaces,state,status,subType,transport,utilities
12 McCullough Dr,,"55,440 SF",New Castle,"Rental Rate,$7.00 /SF/YR,Rentable Building Area,55,440 SF,Property Type,Industrial,Year Built,1988,Property Subtype,Warehouse",1/15/2020,6444537,$0.58 SF/Mo,Industrial,"3,080 - 24,640 SF",2 Spaces,DE,For Lease,Industrial,"[('New Castle County Airport', '11 min drive', '3.7 mi'), ('Philadelphia International Airport', '37 min drive', '25.0 mi'), ('Port of Wilmington, RI', '11 min drive', '4.8 mi'), ('Delaware Cold Storage, Incorporated', '10 min drive', '3.7 mi')]",
19 Davidson Ln,Signage,"9,000 SF",New Castle,"Rental Rate,$7.20 - $12.00 /SF/YR,Rentable Building Area,9,000 SF,Property Type,Industrial,Year Built,1992,Property Subtype,Warehouse",3/24/2017,6444545,$0.60 - $1.00 SF/Mo,Industrial,"2,500 - 6,500 SF",2 Spaces,DE,For Lease,Industrial,"[('New Castle County Airport', '14 min drive', '6.0 mi'), ('Philadelphia International Airport', '34 min drive', '22.9 mi'), ('Port of Wilmington, RI', '6 min drive', '2.0 mi'), ('Delaware Cold Storage, Incorporated', '3 min drive', '0.6 mi')]",
3611 Old Capitol Trl,,"10,000 SF",Wilmington,"Rental Rate,$9.54 /SF/YR,Rentable Building Area,10,000 SF,Property Type,Industrial,Year Built,2016,Property Subtype,Warehouse",7/19/2018,6606938,$0.80 SF/Mo,Industrial,"1,000 SF",1 Space,DE,For Lease,Industrial,,
62 Southgate Blvd,,"13,200 SF",New Castle,"Rental Rate,$8.95 - $9.50 /SF/YR,Rentable Building Area,13,200 SF,Property Type,Industrial,Year Built,1983,Property Subtype,Warehouse",2/5/2020,6705686,$0.75 - $0.79 SF/Mo,Industrial,"1,200 - 4,900 SF",3 Spaces,DE,For Lease,Industrial,"[('New Castle County Airport', '10 min drive', '3.6 mi'), ('Philadelphia International Airport', '36 min drive', '24.9 mi'), ('Port of Wilmington, RI', '10 min drive', '4.7 mi'), ('Delaware Cold Storage, Incorporated', '10 min drive', '3.6 mi')]",
9 Germay Dr,,"22,836 SF",Wilmington,"Rental Rate,$5.00 /SF/YR,Rentable Building Area,22,836 SF,Property Type,Industrial,Year Built,1978,Property Subtype,Warehouse,OfficeLoft Creative Space",7/19/2019,8480129,$0.42 SF/Mo,Industrial,"3,397 SF",1 Space,DE,For Lease,Office,"[('New Castle County Airport', '12 min drive', '5.0 mi'), ('Philadelphia International Airport', '35 min drive', '22.6 mi'), ('Port of Wilmington, RI', '12 min drive', '4.4 mi'), ('Delaware Cold Storage, Incorporated', '13 min drive', '5.2 mi')]",
570 Copper Dr,,"15,133 SF",Newport,"Rental Rate,$7.80 /SF/YR,Rentable Building Area,15,133 SF,Property Type,Industrial,Year Built,1983,Property Subtype,Warehouse",9/19/2019,8802095,$0.65 SF/Mo,Industrial,"2,000 SF",1 Space,DE,For Lease,Industrial,"[('New Castle County Airport', '10 min drive', '3.2 mi'), ('Philadelphia International Airport', '39 min drive', '26.6 mi'), ('Port of Wilmington, RI', '13 min drive', '6.4 mi'), ('TRANSFLO-WILMINGTON-DE', '8 min drive', '3.0 mi')]",
601-611 Carson Dr,,"32,000 SF",Bear,"Rental Rate,$7.95 - $10.00 /SF/YR,Rentable Building Area,32,000 SF,Property Type,Industrial,Year Built,2006,Property Subtype,Warehouse",12/12/2017,10941434,$0.66 - $0.83 SF/Mo,Industrial,"5,700 SF",2 Spaces,DE,For Lease,Industrial,"[('New Castle County Airport', '19 min drive', '9.1 mi'), ('Port of Wilmington, RI', '23 min drive', '12.9 mi'), ('D & S Warehousing & Packaging', '17 min drive', '7.2 mi')]",
130 Hickman Rd,,"9,325 SF",Claymont,"Rental Rate,$10.00 /SF/YR,Rentable Building Area,9,325 SF,Property Type,Industrial,Year Built,1998,Property Subtype,Warehouse",2/5/2019,12195169,$0.83 SF/Mo,Industrial,"1,800 - 7,450 SF",3 Spaces,DE,For Lease,"Flex, Industrial","[('Philadelphia International Airport', '21 min drive', '13.2 mi'), ('New Castle County Airport', '24 min drive', '15.4 mi'), ('Port of Wilmington, RI', '16 min drive', '10.4 mi'), ('TRANSFLO-CHESTER-PA', '11 min drive', '6.5 mi')]",
600 First State Blvd,Bus Line,"15,000 SF",Wilmington,"Rental Rate,$10.00 /SF/YR,Rentable Building Area,15,000 SF,Property Type,Industrial,Year Built,1990,Property Subtype,Warehouse",4/25/2018,12371346,$0.83 SF/Mo,Industrial,"15,000 SF",1 Space,DE,For Lease,Industrial,"[('New Castle County Airport', '11 min drive', '4.3 mi'), ('Philadelphia International Airport', '40 min drive', '27.7 mi'), ('Port of Wilmington, RI', '13 min drive', '7.4 mi'), ('TRANSFLO-WILMINGTON-DE', '8 min drive', '3.0 mi')]","Lighting - Fluorescent,Gas - Natural,Water - City Water,Sewer - County Sewer,Heating - Gas"
409 Meco Dr,,"6,000 SF",Wilmington,"Rental Rate,$9.43 /SF/YR,Rentable Building Area,6,000 SF,Property Type,Industrial,Year Built,1985,Property Subtype,Warehouse",3/26/2020,12498666,$0.79 SF/Mo,Industrial,"1,400 SF",1 Space,DE,For Lease,Industrial,"[('New Castle County Airport', '13 min drive', '4.7 mi'), ('Philadelphia International Airport', '37 min drive', '23.0 mi'), ('Port of Wilmington, RI', '13 min drive', '4.9 mi'), ('Delaware Cold Storage, Incorporated', '15 min drive', '5.6 mi')]","Gas - Natural,Heating - Gas"
