address,amenities,buildingSize,city,extraInfo,highlights,hoodMarket,listingDate,listingID,price,propOverview,propType,spaceAvailable,spaceBullets,spaceSummary,spaces,state,status,subType,transport,utilities
180 W Pinnacle Peak Rd,,"70,467 SF",Phoenix,"Rental Rate,$8.16 /SF/YR,Property Subtype,Warehouse,Min. Divisible,19,891 SF,Rentable Building Area,70,467 SF,Property Type,Industrial,Year Built,2018","Frontage, dock high loading, abundant parking",,5/25/2017,15705328,$0.68 SF/Mo,"A newly constructed Master Planned business Park with frontage, dock high loading and abundant parking.",Industrial,"19,891 - 39,782 SF","New space, never previously occupied,Includes 2,600 SF of dedicated office space,20 Loading Docks,Lease rate does not include utilities, property expenses or building services,7 Drive Ins","Dock High and Grade Level Loading 
Spec Suite available for immediate occupancy 
28' clear height 
ESFR Sprinklers",1 Space,AZ,For Lease,Industrial,,
1850 E 6th St,,"10,452 SF",Tempe,"Rental Rate,$9.48 /SF/YR,Rentable Building Area,10,452 SF,Property Type,Industrial,Year Built,1982,Property Subtype,Warehouse",,,3/25/2020,18983728,$0.79 SF/Mo,,Industrial,"10,342 SF","Lease rate does not include utilities, property expenses or building services,Includes 3,200 SF of dedicated office space",,1 Space,AZ,For Lease,Industrial,"[('McClintock Dr/Apache Blvd Transit Stop', '(METRO Light Rail)', '18 min walk'), ('0.9 mi', 'Phoenix Sky Harbor International Airport', '13 min drive'), ('7.2 mi', 'Port of San Diego', '411 min drive'), ('366.5 mi', 'UP-PHOENIX-AZ', '18 min drive'), ('11.9 mi',)]",
1813 N Main St,,"5,670 SF",Flagstaff,"Rental Rate,$21.24 - $25.20 /SF/YR,Rentable Building Area,5,670 SF,Property Type,Industrial,Year Built,1997,Property Subtype,Warehouse",,,4/16/2020,4309243,$1.77 - $2.10 SF/Mo,"Office/Whse/Showroom great for a Wholesale Use, Contractor, Eng Firm or other Administrative Use. Great location. Move-in ready.
3 ADA restrooms. 10x10 Roll-up Door at Watehouse. Loft Mezzanine Area. Operable Windows. A/C and N-gas heat.",Industrial,"1,020 SF","Rate includes utilities, building services and property expenses,Rate includes utilities, building services and property expenses","-Rent is 900 per month
-Prefers a 3-5yr lease term, however, owner is willing to negotiate a shorter lease term.,-Rent is 900 per month
-Prefers a 3-5yr lease term, however, owner is willing to negotiate a shorter lease term.",2 Spaces,AZ,For Lease,Office,"[('Flagstaff Pulliam Airport', '16 min drive', '7.9 mi'), ('Port of San Diego', '541 min drive', '493.3 mi'), ('BNSF-PHOENIX INTERMODAL FACILITY', '158 min drive', '142.5 mi')]",
3545 E Williams Field Rd,,"10,000 SF",Gilbert,"Property Type,Industrial,Year Built,2021,Property Subtype,Warehouse,Construction Status,Proposed,Rentable Building Area,10,000 SF",,,11/14/2017,9977858,Rent Upon Request,,Industrial,"10,000 SF","New space, never previously occupied",,1 Space,AZ,For Lease,Industrial,,
1051-1151 N Fiesta Blvd,"Skylights,Air Conditioning","90,024 SF",Gilbert,"Rental Rate,$6.60 /SF/YR,Rentable Building Area,90,024 SF,Property Type,Industrial,Year Built,1995,Property Subtype,Warehouse",,,8/17/2018,13530915,$0.55 SF/Mo,,Industrial,"34,407 SF","Lease rate does not include utilities, property expenses or building services,1 Drive In Bay",,1 Space,AZ,For Lease,Industrial,,"Water - City Water,Sewer - City Sewer"
3834 E Roeser Rd,,"15,600 SF",Phoenix,"Rental Rate,$10.80 /SF/YR,Rentable Building Area,15,600 SF,Property Type,Industrial,Year Built,1985,Property Subtype,Warehouse",,,2/6/2019,15095901,$0.90 SF/Mo,,Industrial,"15,600 SF","Listed rate may not include certain utilities, building services and property expenses,Kitchen,Includes 4,500 SF of dedicated office space,Private Restrooms","Located just min. from I-10, 202 & I-17 freeways
4,500 +/- sq. ft. a/c office area (Rec., 5 large open rooms/office, conference, kitchen & 4RR)
11,000 +/- sq. ft. evap. cooled warehouse
 18’ Minimum clear height
Three (3) 12’ x 14’ grade doors
 Doublewide Truckwell
GCP Zoning, City of Phoenix
 Excellent accessibility
400 amps, 120/208 volt, 3 phase power
Competitive Gross Rental Rates",1 Space,AZ,For Lease,Industrial,"[('Phoenix Sky Harbor International Airport', '11 min drive', '4.9 mi'), ('Port of San Diego', '406 min drive', '362.8 mi'), ('UP-PHOENIX-AZ', '11 min drive', '6.4 mi')]","Water - City Water,Sewer - City Sewer"
SWC Queen Creek Rd & Hamilton St,,"199,680 SF",Chandler,"Property Type,Industrial,Year Built,2020,Property Subtype,Warehouse,Construction Status,Proposed,Rentable Building Area,199,680 SF",,,6/20/2019,16400209,Rent Upon Request,,Industrial,"199,680 SF","New space, never previously occupied","• ±34.83 acres available for sale or build to suit
• PAD zoning, City of Chandler
• Queen Creek Road frontage
• Power: SRP
• Water - City of Chandler (in Queen Creek Road)
• Sewer - City of Chandler (in Queen Creek Road)
• Natural gas - Southwest Gas
• Less than 2 miles from Loop 202 via McQueen Road or Arizona Avenue
• Proximity to Chandler Municipal Airport
• Proximity to corporate neighbors like Intel, Orbital-ATK, Air Products, Ferguson, PODS,  FedEx, ALDI, Cardinal Health, Silent Aire, Trane",1 Space,AZ,For Lease,Industrial,,"Gas - Natural,Water - City Water,Sewer - City Sewer"
800 E Germann Rd,,"112,848 SF",Chandler,"Property Type,Industrial,Year Built,2021,Property Subtype,Warehouse,Construction Status,Proposed,Rentable Building Area,112,848 SF",,,9/23/2019,17272072,Rent Upon Request,"New Construction  delivering 3Q 2020 ~ ±112,848 SF on ±8.7 acres with large fenced yard (±2.0 acres). Ability to expand parking up to 392 stalls (3.47/1,000). 
1/2 mile from Loop 202 full diamond interchange at McQueen Road",Industrial,"112,848 SF","New space, never previously occupied","112,848 SF on 8.70 acres with a large fenced yard
·· 30’ Clear height in warehouse
·· 185 Parking stalls (potential to expand up to 392 stalls or 3.47/1,000)
·· 224’ Building depth
·· 17 Dock-high doors
·· 4 Grade-level loading doors
·· 3,000 Amps 277/480v electrical service
·· Approximate 2.0 acres of fenced secure yard area or additional parking
·· Frontage on Germann Road
·· ESFR
·· Minimum 146’ truck court depth (concrete apron)
·· Immediate access to Loop 202 freeway via a full-diamond interchange at McQueen Road and Arizona Avenue",1 Space,AZ,For Lease,Industrial,,
3640 E Roeser Rd,"Signage,Skylights","12,000 SF",Phoenix,"Rental Rate,$10.80 /SF/YR,Rentable Building Area,12,000 SF,Property Type,Industrial,Year Built,1994,Property Subtype,Warehouse","Sky Harbor Airport Area,Located near I-10, 202 & I-17",,12/10/2019,17923949,$0.90 SF/Mo,,Industrial,"12,000 SF","Listed rate may not include certain utilities, building services and property expenses,4 Drive Ins,Includes 1,400 SF of dedicated office space,1 Loading Dock","- 1400 SF a/c office area (Receptionist, 2 offices)
- Four 12' x 14' grade level doors
- Building Signage",1 Space,AZ,For Lease,Industrial,"[('Phoenix Sky Harbor International Airport', '12 min drive', '5.2 mi'), ('Port of San Diego', '406 min drive', '362.5 mi'), ('UP-PHOENIX-AZ', '12 min drive', '6.2 mi')]",
130 W Hampton Ave,,"21,800 SF",Mesa,"Rental Rate,$8.76 - $10.68 /SF/YR,Rentable Building Area,21,800 SF,Property Type,Industrial,Year Built,1983,Property Subtype,Warehouse",,,4/14/2020,18561270,$0.73 - $0.89 SF/Mo,,Industrial,"1,000 - 7,000 SF","Listed rate may not include certain utilities, building services and property expenses,Listed rate may not include certain utilities, building services and property expenses",av 5/1/20,2 Spaces,AZ,For Lease,Industrial,"[('Phoenix Sky Harbor International Airport', '21 min drive', '13.6 mi'), ('Port of San Diego', '416 min drive', '372.0 mi'), ('Arizona Dairy Co.', '19 min drive', '13.0 mi')]",
190 E Corporate Pl,,"18,963 SF",Chandler,"Rental Rate,$11.04 /SF/YR,Rentable Building Area,18,963 SF,Property Type,Industrial,Year Built,2005,Property Subtype,Warehouse",,,3/24/2020,18970035,$0.92 SF/Mo,,Industrial,"4,162 SF","Listed rate may not include certain utilities, building services and property expenses","Available July 1, 2020 200 Amps | 277/480 V",1 Space,AZ,For Lease,Industrial,"[('Phoenix Sky Harbor International Airport', '25 min drive', '16.5 mi'), ('Port of San Diego', '412 min drive', '367.9 mi'), ('Arizona Dairy Co.', '20 min drive', '10.7 mi')]",
5522 W Roosevelt St,Air Conditioning,"46,619 SF",Phoenix,"Rental Rate,$7.20 /SF/YR,Rentable Building Area,46,619 SF,Property Type,Industrial,Year Built,1998,Property Subtype,Warehouse",,,3/25/2020,18987133,$0.60 SF/Mo,,Industrial,"5,160 SF","Lease rate does not include utilities, property expenses or building services,2 Loading Docks,Includes 1,330 SF of dedicated office space,Central Air Conditioning","- 5,160 Square Feet 
- 1,330 SF Of Office 
- A/C Warehouse 
- 18’ Clear 
- Two (2) Dock Doors 
- $.60/SF NNN

",1 Space,AZ,For Lease,Industrial,"[('Phoenix Sky Harbor International Airport', '23 min drive', '14.6 mi'), ('Port of San Diego', '390 min drive', '349.0 mi'), ('FREEPORT LOGISTICS, INC.-PHOENIX-AZ-431 N. 47', '5 min drive', '1.7 mi')]",
