address,amenities,buildingSize,city,extraInfo,listingDate,listingID,price,propType,spaceAvailable,spaces,state,status,subType,transport,utilities
7715 Commercial Way,Skylights,"41,306 SF",Henderson,"Rental Rate,$9.48 /SF/YR,Rentable Building Area,41,306 SF,Property Type,Industrial,Year Built,2008,Property Subtype,Warehouse",2/25/2020,18641551,$0.79 SF/Mo,Industrial,"6,986 SF",1 Space,NV,For Lease,Industrial,"[('Henderson Airport', '18 min drive', '10.1 mi'), ('McCarran International Airport', '19 min drive', '12.2 mi'), ('Boulder City Municipal Airport', '23 min drive', '13.9 mi'), ('Port of Long Beach', '315 min drive', '279.8 mi'), ('UP-LAS VEGAS-NV', '21 min drive', '13.1 mi')]","Gas - Natural,Water - City Water,Sewer - City Sewer"
6775 Speedway Blvd,"24 Hour Access,Signage,Skylights","95,065 SF",Las Vegas,"Rental Rate,$5.64 /SF/YR,Rentable Building Area,95,065 SF,Property Type,Industrial,Year Built,1998,Property Subtype,Warehouse,Cross Streets,I-15",2/26/2020,18654787,$0.47 SF/Mo,Industrial,"20,167 SF",1 Space,NV,For Lease,Industrial,"[('North Las Vegas Airport', '21 min drive', '13.5 mi'), ('McCarran International Airport', '29 min drive', '19.3 mi'), ('Henderson Airport', '40 min drive', '28.8 mi'), ('Port of Long Beach', '328 min drive', '293.8 mi'), ('UP-LAS VEGAS-NV', '19 min drive', '12.4 mi')]",Lighting - Metal Halide
4255 S Valley View Blvd,"Bus Line,Fenced Lot,Signage","9,280 SF",Las Vegas,"Rental Rate,$30.00 /SF/YR,Rentable Building Area,9,280 SF,Property Type,Industrial,Year Built,1984,Property Subtype,Warehouse",2/28/2020,18678526,$2.50 SF/Mo,Industrial,850 SF,1 Space,NV,For Lease,Office,"[('McCarran International Airport', '11 min drive', '4.6 mi'), ('North Las Vegas Airport', '16 min drive', '8.4 mi'), ('Henderson Airport', '23 min drive', '13.7 mi'), ('Port of Long Beach', '311 min drive', '278.8 mi'), ('UP-LAS VEGAS-NV', '8 min drive', '4.6 mi')]",
2782 Abels Ln,"Fenced Lot,Skylights,Yard","9,998 SF",Las Vegas,"Rental Rate,$8.28 /SF/YR,Rentable Building Area,9,998 SF,Property Type,Industrial,Year Built,2007,Property Subtype,Warehouse",2/29/2020,18693761,$0.69 SF/Mo,Industrial,"9,998 SF",1 Space,NV,For Lease,Industrial,"[('North Las Vegas Airport', '18 min drive', '8.8 mi'), ('McCarran International Airport', '26 min drive', '14.9 mi'), ('Henderson Airport', '35 min drive', '19.2 mi'), ('Port of Long Beach', '325 min drive', '289.5 mi'), ('UP-LAS VEGAS-NV', '16 min drive', '7.5 mi')]","Lighting - Fluorescent,Water - City Water,Sewer - County Sewer"
4420 Andrews St,"Bus Line,Fenced Lot,Signage","62,155 SF",North Las Vegas,"Rental Rate,$6.84 /SF/YR,Rentable Building Area,62,155 SF,Property Type,Industrial,Year Built,1980,Property Subtype,Warehouse,Cross Streets,Craig",3/3/2020,18725862,$0.57 SF/Mo,Industrial,"11,250 SF",1 Space,NV,For Lease,Industrial,"[('North Las Vegas Airport', '16 min drive', '9.2 mi'), ('McCarran International Airport', '24 min drive', '15.0 mi'), ('Henderson Airport', '35 min drive', '24.4 mi'), ('Port of Long Beach', '323 min drive', '289.5 mi'), ('UP-LAS VEGAS-NV', '14 min drive', '8.1 mi')]",
1120 Grier Dr,Signage,"13,497 SF",Las Vegas,"Rental Rate,$10.80 /SF/YR,Rentable Building Area,13,497 SF,Property Type,Industrial,Year Built,2005,Property Subtype,Warehouse",3/3/2020,18726967,$0.90 SF/Mo,Industrial,"13,497 SF",1 Space,NV,For Lease,Industrial,"[('McCarran International Airport', '9 min drive', '3.7 mi'), ('Henderson Airport', '16 min drive', '8.2 mi'), ('North Las Vegas Airport', '23 min drive', '12.8 mi'), ('Port of Long Beach', '312 min drive', '277.3 mi'), ('UP-LAS VEGAS-NV', '15 min drive', '9.1 mi')]",Gas
535-543 Vista Blvd,"Bus Line,Signage,Skylights","47,539 SF",Sparks,"Rental Rate,$9.00 /SF/YR,Rentable Building Area,47,539 SF,Property Type,Industrial,Year Built,2006,Property Subtype,Warehouse",3/4/2020,18739312,$0.75 SF/Mo,Industrial,"8,307 SF",1 Space,NV,For Lease,Industrial,,"Gas,Water,Sewer"
3072 Research Way,Skylights,"12,000 SF",Carson City,"Rental Rate,$6.60 /SF/YR,Rentable Building Area,12,000 SF,Property Type,Industrial,Year Built,1994,Property Subtype,Warehouse",3/4/2020,18746505,$0.55 SF/Mo,Industrial,"2,400 - 6,700 SF",2 Spaces,NV,For Lease,Industrial,"[('Reno–Tahoe International Airport', '51 min drive', '30.4 mi'), ('Port of Richmond', '271 min drive', '208.2 mi'), ('BNSF NEVADA QDC-SPARKS-NV', '39 min drive', '29.9 mi')]","Lighting,Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Gas"
1420-1470 Kleppe Ln,"Bus Line,Front Loading","149,713 SF",Sparks,"Rental Rate,$5.40 /SF/YR,Rentable Building Area,149,713 SF,Property Type,Industrial,Year Built,1976,Property Subtype,Warehouse",3/9/2020,18801374,$0.45 SF/Mo,Industrial,"65,983 SF",1 Space,NV,For Lease,Industrial,"[('Reno–Tahoe International Airport', '30 min drive', '10.3 mi'), ('Port of Richmond', '252 min drive', '213.2 mi'), ('BNSF NEVADA QDC-SPARKS-NV', '4 min drive', '1.6 mi')]",
3220 Bloomfield Hwy,,"12,650 SF",Farmington,"Property Type,Industrial,Rentable Building Area,12,650 SF,Property Subtype,Warehouse,Year Built,1978",2/19/2020,18567983,Rent Upon Request,Industrial,"12,650 SF",1 Space,NM,For Lease,Industrial,"[('Four Corners Regional Airport', '9 min drive', '4.7 mi'), ('Port of San Diego', '861 min drive', '796.6 mi'), ('PACHECO TRUCKING-ALBUQUERQUE-NM', '198 min drive', '173.4 mi')]",
