address,amenities,buildingSize,city,extraInfo,listingDate,listingID,price,propType,spaceAvailable,spaces,state,status,subType,transport,utilities
1700 Main Ave W,Signage,"38,293 SF",West Fargo,"Rental Rate,$6.00 /SF/YR,Rentable Building Area,38,293 SF,Property Type,Industrial,Year Built,1998,Property Subtype,Warehouse",10/10/2018,4184581,$0.50 SF/Mo,Industrial,"6,000 - 12,925 SF",2 Spaces,ND,For Lease,Industrial,"[('Hector International Airport', '22 min drive', '10.0 mi'), ('Port of Shreveport', '1,314 min drive', '1,157.9 mi'), ('UNION STORAGE AND TRANSFER CO.-FARGO-ND', '7 min drive', '3.7 mi')]",
1502 1st Ave N,"Cooler,Freezer (Space),Yard,Storage Space","69,055 SF",Fargo,"Rental Rate,$7.15 - $14.00 /SF/YR,Property Subtype,Warehouse,Industrial Distribution,Industrial Refrigeration ColdStorage,Industrial Warehouse,Min. Divisible,1,298 SF,Rentable Building Area,69,055 SF,Property Type,Industrial",5/21/2019,4335696,$0.60 - $1.17 SF/Mo,Industrial,"1,298 - 12,239 SF",2 Spaces,ND,For Lease,Industrial,,
110 N 26th St,,"47,290 SF",Bismarck,"Rental Rate,$3.85 /SF/YR,Rentable Building Area,47,290 SF,Property Type,Industrial,Year Built,1960,Property Subtype,Warehouse",2/7/2013,4414651,$0.32 SF/Mo,Industrial,"47,290 SF",1 Space,ND,For Lease,Industrial,"[('Bismarck Municipal Airport', '12 min drive', '2.8 mi'), ('Port of Everett', '1,317 min drive', '1,257.8 mi'), ('FARMERS ELEVATOR-FALKIRK-ND', '51 min drive', '41.6 mi')]",
2201 E Front Ave,,"6,000 SF",Bismarck,"Rental Rate,$5.95 /SF/YR,Property Subtype,Warehouse,Property Type,Industrial,Rentable Building Area,6,000 SF",5/17/2018,4905393,$0.50 SF/Mo,Industrial,"6,000 SF",1 Space,ND,For Lease,Industrial,"[('Bismarck Municipal Airport', '12 min drive', '2.9 mi'), ('Port of Everett', '1,317 min drive', '1,257.6 mi'), ('FARMERS ELEVATOR-FALKIRK-ND', '51 min drive', '41.4 mi')]",
2110 Lovett Ave,,"5,400 SF",Bismarck,"Rental Rate,$8.00 /SF/YR,Rentable Building Area,5,400 SF,Property Type,Industrial,Year Built,2001,Property Subtype,Warehouse",9/26/2016,4470282,$0.67 SF/Mo,Industrial,"1,800 SF",1 Space,ND,For Lease,Industrial,"[('Bismarck Municipal Airport', '9 min drive', '2.3 mi'), ('Port of Everett', '1,316 min drive', '1,258.1 mi'), ('FARMERS ELEVATOR-FALKIRK-ND', '52 min drive', '42.1 mi')]",
11104 30th St SW,,"23,750 SF",Dickinson,"Rental Rate,$13.00 /SF/YR,Rentable Building Area,23,750 SF,Property Type,Industrial,Year Built,2015,Property Subtype,Warehouse,Industrial Truck Terminal",3/31/2017,6566578,$1.08 SF/Mo,Industrial,"23,750 SF",1 Space,ND,For Lease,Industrial,"[('Port of Everett', '1,222 min drive', '1,163.8 mi'), ('Belfield Grain Co. Inc.', '22 min drive', '10.0 mi')]","Gas - Natural,Sewer - Septic Field"
4402 S 2nd Ave,,"38,072 SF",Fargo,"Rental Rate,$10.00 /SF/YR,Property Subtype,Warehouse,Office Building,Min. Divisible,1,337 SF,Rentable Building Area,38,072 SF,Property Type,Industrial,Year Built,2009",8/25/2017,8872562,$0.83 SF/Mo,Industrial,"1,337 - 5,747 SF",1 Space,ND,For Lease,Office,"[('Hector International Airport', '17 min drive', '6.8 mi'), ('Port of Shreveport', '1,309 min drive', '1,153.8 mi'), ('UNION STORAGE AND TRANSFER CO.-FARGO-ND', '2 min drive', '0.5 mi')]",Lighting
708 38th St N,,"15,000 SF",Fargo,"Rental Rate,$6.00 /SF/YR,Rentable Building Area,15,000 SF,Property Type,Industrial,Year Built,1988,Property Subtype,Warehouse",10/31/2017,8877953,$0.50 SF/Mo,Industrial,"3,600 SF",1 Space,ND,For Lease,Industrial,"[('Hector International Airport', '15 min drive', '5.4 mi'), ('Port of Shreveport', '1,310 min drive', '1,154.4 mi'), ('UNION STORAGE AND TRANSFER CO.-FARGO-ND', '7 min drive', '2.0 mi')]",
3031 S Thunder Rd,,"16,800 SF",Fargo,"Rental Rate,$6.50 /SF/YR,Rentable Building Area,16,800 SF,Property Type,Industrial,Year Built,2010,Property Subtype,Warehouse",8/29/2019,9501131,$0.54 SF/Mo,Industrial,"4,800 SF",1 Space,ND,For Lease,Industrial,"[('Hector International Airport', '21 min drive', '9.5 mi'), ('Port of Shreveport', '1,305 min drive', '1,150.4 mi'), ('UNION STORAGE AND TRANSFER CO.-FARGO-ND', '11 min drive', '5.1 mi')]",
3005 Thunder Rd S,,"12,000 SF",Fargo,"Rental Rate,$6.50 /SF/YR,Rentable Building Area,12,000 SF,Property Type,Industrial,Year Built,2015,Property Subtype,Warehouse",10/6/2016,9501147,$0.54 SF/Mo,Industrial,"3,600 SF",1 Space,ND,For Lease,Industrial,"[('Hector International Airport', '21 min drive', '9.5 mi'), ('Port of Shreveport', '1,304 min drive', '1,150.4 mi'), ('UNION STORAGE AND TRANSFER CO.-FARGO-ND', '10 min drive', '5.0 mi')]",
3002 39th St S,,"12,000 SF",Fargo,"Rental Rate,$6.50 /SF/YR,Rentable Building Area,12,000 SF,Property Type,Industrial,Year Built,2012,Property Subtype,Warehouse",8/29/2019,9501148,$0.54 SF/Mo,Industrial,"5,120 SF",1 Space,ND,For Lease,Industrial,"[('Hector International Airport', '20 min drive', '9.4 mi'), ('Port of Shreveport', '1,304 min drive', '1,150.3 mi'), ('UNION STORAGE AND TRANSFER CO.-FARGO-ND', '10 min drive', '5.0 mi')]",
4233 Hagen Ave,"24 Hour Access,Yard,Storage Space,Air Conditioning","7,504 SF",Bismarck,"Property Type,Industrial,Rentable Building Area,7,504 SF,Property Subtype,Warehouse,Year Built,2014",9/11/2019,18840208,Rent Upon Request,Industrial,"7,500 SF",1 Space,ND,For Lease,Industrial,"[('Bismarck Municipal Airport', '16 min drive', '3.9 mi'), ('Port of Everett', '1,326 min drive', '1,261.4 mi'), ('FARMERS ELEVATOR-FALKIRK-ND', '61 min drive', '45.0 mi')]","Lighting - Fluorescent,Gas - Natural,Water - City Water,Sewer - Septic Field,Heating - Electric"
5607 E 6th Ave,Fenced Lot,"10,725 SF",Stillwater,"Rental Rate,$4.50 /SF/YR,Rentable Building Area,10,725 SF,Property Type,Industrial,Year Built,1978,Property Subtype,Warehouse",1/6/2020,18091958,$0.38 SF/Mo,Industrial,"10,725 SF",1 Space,OK,For Lease,Industrial,"[('Port of Shreveport', '483 min drive', '411.5 mi'), ('Farmers Cooperative Assoc.-Perry-OK', '40 min drive', '29.6 mi')]","Gas - Propane,Water - Well,Sewer - Septic Field"
2601 S Vermont Ave,,"10,570 SF",Oklahoma City,"Rental Rate,$7.25 /SF/YR,Rentable Building Area,10,570 SF,Property Type,Industrial,Year Built,2016,Property Subtype,Warehouse",6/10/2019,18104951,$0.60 SF/Mo,Industrial,"10,570 SF",1 Space,OK,For Lease,Industrial,"[('Will Rogers World Airport', '12 min drive', '4.0 mi'), ('Port of Shreveport', '438 min drive', '401.3 mi'), ('APOLLO DISTRIBUTION, INC.-OKLAHOMA CITY-OK', '4 min drive', '1.4 mi')]","Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Gas"
2015-2023 S Nicklas St,,"17,272 SF",Oklahoma City,"Rental Rate,$8.25 /SF/YR,Rentable Building Area,17,272 SF,Min. Divisible,5,000 SF,Year Built,1974,Property Type,Industrial,Cross Streets,SW 20th St,Property Subtype,Warehouse",1/7/2020,18115025,$0.69 SF/Mo,Industrial,"5,000 - 10,000 SF",1 Space,OK,For Lease,Flex,,"Lighting,Gas,Water - City Water,Sewer - City Sewer,Heating"
3909 S Meridian Ave,Fenced Lot,"24,352 SF",Oklahoma City,"Rental Rate,$7.50 /SF/YR,Rentable Building Area,24,352 SF,Property Type,Industrial,Year Built,1957,Property Subtype,Warehouse",1/17/2020,18218355,$0.63 SF/Mo,Industrial,"24,352 SF",1 Space,OK,For Lease,Industrial,,
4433 W 49th St,,"491,854 SF",Tulsa,"Rental Rate,$4.50 - $7.50 /SF/YR,Property Subtype,Warehouse,Min. Divisible,3,192 SF,Rentable Building Area,491,854 SF,Property Type,Industrial,Year Built/Renovated,1963/1980",4/16/2020,18223660,$0.38 - $0.63 SF/Mo,Industrial,"3,192 - 382,272 SF",4 Spaces,OK,For Lease,Industrial,"[('Tulsa International Airport', '25 min drive', '15.4 mi'), ('Port of Shreveport', '419 min drive', '359.9 mi'), ('SAND SPRINGS RAILWAY COMPANY-TULSA-OK', '17 min drive', '11.6 mi')]",
4400 SW 34th St,24 Hour Access,"4,000 SF",Oklahoma City,"Rental Rate,$5.25 /SF/YR,Rentable Building Area,4,000 SF,Property Type,Industrial,Year Built,1985,Property Subtype,Warehouse",1/21/2020,18250544,$0.44 SF/Mo,Industrial,"4,000 SF",1 Space,OK,For Lease,Industrial,"[('Will Rogers World Airport', '11 min drive', '3.3 mi'), ('Port of Shreveport', '437 min drive', '400.5 mi'), ('APOLLO DISTRIBUTION, INC.-OKLAHOMA CITY-OK', '2 min drive', '0.6 mi')]","Lighting,Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Gas"
9817 W Reno Ave,,"11,900 SF",Oklahoma City,"Rental Rate,$9.50 /SF/YR,Rentable Building Area,11,900 SF,Property Type,Industrial,Year Built,2017,Property Subtype,Warehouse",1/26/2020,18309442,$0.79 SF/Mo,Industrial,"3,450 SF",1 Space,OK,For Lease,Industrial,,"Lighting,Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Gas"
4444 W 520,,"6,500 SF",Pryor,"Rental Rate,$6.65 /SF/YR,Rentable Building Area,6,500 SF,Property Type,Industrial,Year Built,1980,Property Subtype,Warehouse",2/1/2020,18372962,$0.55 SF/Mo,Industrial,"6,500 SF",1 Space,OK,For Lease,Industrial,,
408 Centennial Blvd,,"28,120 SF",Edmond,"Rental Rate,$6.00 /SF/YR,Rentable Building Area,28,120 SF,Property Type,Industrial,Year Built,1998,Property Subtype,Warehouse",2/6/2020,18435107,$0.50 SF/Mo,Industrial,"20,000 SF",1 Space,OK,For Lease,Industrial,"[('Will Rogers World Airport', '35 min drive', '21.0 mi'), ('Port of Shreveport', '448 min drive', '410.0 mi'), ('COMMERCIAL WAREHOUSE CO.-OKLAHOMA CITY-OK', '14 min drive', '9.3 mi')]",
325 N Portland Ave,Air Conditioning,"18,381 SF",Oklahoma City,"Rental Rate,$9.00 /SF/YR,Rentable Building Area,18,381 SF,Property Type,Industrial,Year Built,1979,Property Subtype,Warehouse",2/7/2020,18445370,$0.75 SF/Mo,Industrial,"18,381 SF",1 Space,OK,For Lease,Flex,"[('Will Rogers World Airport', '15 min drive', '6.1 mi'), ('Port of Shreveport', '440 min drive', '403.0 mi'), ('APOLLO DISTRIBUTION, INC.-OKLAHOMA CITY-OK', '8 min drive', '4.2 mi')]","Lighting,Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Gas"
11605 E 27th St N,"24 Hour Access,Fenced Lot,Signage,Yard,Storage Space,Monument Signage,Air Conditioning","100,000 SF",Tulsa,"Rental Rate,$7.95 /SF/YR,Rentable Building Area,100,000 SF,Property Type,Industrial,Year Built,2005,Property Subtype,Warehouse,Cross Streets,Garnett & Apache",2/11/2020,18484596,$0.66 SF/Mo,Industrial,"40,000 SF",1 Space,OK,For Lease,Industrial,"[('Tulsa International Airport', '13 min drive', '6.1 mi'), ('Port of Shreveport', '434 min drive', '371.3 mi'), ('ELLSWORTH MOTOR FREIGHT LINES, INC.-TULSA-OK', '8 min drive', '3.3 mi')]",
8100 N Highway 81,,"123,450 SF",Duncan,"Rental Rate,$3.25 /SF/YR,Rentable Building Area,123,450 SF,Property Type,Industrial,Year Built,1900,Property Subtype,Warehouse",2/12/2020,18496595,$0.27 SF/Mo,Industrial,"110,000 SF",1 Space,OK,For Lease,Industrial,"[('Lawton-Fort Sill Regional Airport', '42 min drive', '29.7 mi'), ('Port of Shreveport', '413 min drive', '363.4 mi'), ('Comanche Seed & Grain Co.', '22 min drive', '14.7 mi')]",
2710 Global Pky,,"11,200 SF",Midwest City,"Rental Rate,$7.75 /SF/YR,Rentable Building Area,11,200 SF,Property Type,Industrial,Year Built,2017,Property Subtype,Warehouse",2/27/2020,18663083,$0.65 SF/Mo,Industrial,"2,100 SF",1 Space,OK,For Lease,Industrial,,
11842 S 33rd Ave W,,"15,000 SF",Sapulpa,"Rental Rate,$5.25 /SF/YR,Rentable Building Area,15,000 SF,Property Type,Industrial,Year Built,1996,Property Subtype,Warehouse",8/21/2018,18842217,$0.44 SF/Mo,Industrial,"10,000 SF",1 Space,OK,For Lease,Industrial,"[('Tulsa International Airport', '32 min drive', '22.5 mi'), ('Port of Shreveport', '408 min drive', '351.5 mi'), ('SAND SPRINGS RAILWAY COMPANY-TULSA-OK', '24 min drive', '18.7 mi')]",
4601 SW 36th St,,"42,000 SF",Oklahoma City,"Rental Rate,$4.75 /SF/YR,Rentable Building Area,42,000 SF,Property Type,Industrial,Year Built/Renovated,1983/2013,Property Subtype,Warehouse",3/16/2020,18883406,$0.40 SF/Mo,Industrial,"32,000 SF",1 Space,OK,For Lease,Industrial,"[('Will Rogers World Airport', '10 min drive', '3.2 mi'), ('Port of Shreveport', '437 min drive', '400.4 mi'), ('APOLLO DISTRIBUTION, INC.-OKLAHOMA CITY-OK', '1 min drive', '0.3 mi')]",
101 E Hill St,"Skylights,Fluorescent Lighting","11,960 SF",Oklahoma City,"Rental Rate,$6.95 /SF/YR,Rentable Building Area,11,960 SF,Property Type,Industrial,Year Built,2009,Property Subtype,Warehouse",3/24/2020,18968184,$0.58 SF/Mo,Industrial,"11,960 SF",1 Space,OK,For Lease,Industrial,"[('Will Rogers World Airport', '26 min drive', '12.4 mi'), ('Port of Shreveport', '438 min drive', '400.9 mi'), ('SOUTHWEST WAREHOUSING-OKLAHOMA CITY-OK', '1 min drive', '0.2 mi')]",
103 NW 44th St,,"17,554 SF",Oklahoma City,"Rental Rate,$5.85 /SF/YR,Rentable Building Area,17,554 SF,Property Type,Industrial,Year Built,1965,Property Subtype,Warehouse",3/26/2020,18998174,$0.49 SF/Mo,Industrial,"17,554 SF",1 Space,OK,For Lease,Industrial,"[('Will Rogers World Airport', '27 min drive', '14.2 mi'), ('Port of Shreveport', '439 min drive', '402.4 mi'), ('COMMERCIAL WAREHOUSE CO.-OKLAHOMA CITY-OK', '2 min drive', '0.7 mi')]",
400 N Macarthur Blvd,"Fenced Lot,Yard,Storage Space","20,000 SF",Oklahoma City,"Rental Rate,$6.50 /SF/YR,Rentable Building Area,20,000 SF,Property Type,Industrial,Year Built,1967,Property Subtype,Warehouse",3/30/2020,19053505,$0.54 SF/Mo,Industrial,"20,000 SF",1 Space,OK,For Lease,Industrial,"[('Will Rogers World Airport', '17 min drive', '7.1 mi'), ('Port of Shreveport', '442 min drive', '404.8 mi'), ('APOLLO DISTRIBUTION, INC.-OKLAHOMA CITY-OK', '7 min drive', '3.5 mi')]","Lighting,Gas,Water,Sewer,Heating"
