address,amenities,buildingSize,city,extraInfo,listingDate,listingID,price,propType,spaceAvailable,spaces,state,status,subType,transport,utilities
120 Wilshire Blvd,,"150,000 SF",Edgewood,"Property Type,Industrial,Rentable Building Area,150,000 SF,Property Subtype,Warehouse,Year Built,2013",3/24/2020,18965073,Rent Upon Request,Industrial,"75,000 SF",1 Space,NY,For Lease,Industrial,"[('Deer Park Station Commuter Rail (Ronkonkoma Branch)', '5 min drive', '1.4 mi'), ('Brentwood Station Commuter Rail (Ronkonkoma Branch)', '12 min drive', '4.0 mi'), ('Long Island MacArthur Airport', '26 min drive', '14.6 mi'), ('John F. Kennedy International Airport', '45 min drive', '35.8 mi'), ('NY - Red Hook Container Terminal', '59 min drive', '45.5 mi'), ('Pinter Warehouse', '9 min drive', '3.0 mi')]",Heating - Gas
1600 N Ocean Ave,,"27,000 SF",Holtsville,"Rental Rate,$15.00 /SF/YR,Rentable Building Area,27,000 SF,Property Type,Industrial,Year Built,1990,Property Subtype,Warehouse",7/19/2016,4289714,$1.25 SF/Mo,Industrial,"1,800 SF",1 Space,NY,For Lease,Industrial,"[('Medford Station Commuter Rail (Greenport Branch)', '4 min drive', '1.5 mi'), ('Patchogue Station Commuter Rail (Montauk Branch)', '8 min drive', '3.6 mi'), ('Long Island MacArthur Airport', '14 min drive', '7.8 mi'), ('NY - Red Hook Container Terminal', '74 min drive', '58.9 mi'), ('Pinter Warehouse', '28 min drive', '19.2 mi')]","Lighting,Heating"
71 White St,,"25,000 SF",Brooklyn,"Rental Rate,$53.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,12,500 SF,Rentable Building Area,25,000 SF,Property Type,Industrial,Year Built,1940",7/18/2017,8236803,$4.42 SF/Mo,Industrial,"12,500 - 25,000 SF",1 Space,NY,For Lease,Retail,"[('Morgan Avenue Transit Stop', '4 min walk', '0.2 mi'), ('Montrose Avenue Transit Stop', '7 min walk', '0.4 mi'), ('Flushing Avenue', '13 min walk', '0.6 mi'), ('Grand Street', '13 min walk', '0.7 mi'), ('Lorimer Street', '14 min walk', '0.7 mi'), ('Nostrand Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '7 min drive', '2.9 mi'), ('Hunterspoint Avenue Station Commuter Rail (Oyster Bay Branch, Hempstead Branch)', '9 min drive', '4.0 mi'), ('La Guardia Airport', '14 min drive', '7.8 mi'), ('John F. Kennedy International Airport', '20 min drive', '11.8 mi'), ('Newark Liberty International Airport', '35 min drive', '16.0 mi'), ('NY - Red Hook Container Terminal', '11 min drive', '5.2 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '8 min drive', '3.6 mi')]",
1 Ross Tech Park,,"86,300 SF",Troy,"Rental Rate,$6.75 /SF/YR,Rentable Building Area,86,300 SF,Property Type,Industrial,Cross Streets,9th Ave,Property Subtype,Manufacturing,Industrial Warehouse",3/21/2019,4079725,$0.56 SF/Mo,Industrial,"19,530 SF",1 Space,NY,For Lease,Industrial,,"Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Gas"
1230-1244 Lyell Ave,"Bus Line,Conferencing Facility,Security System,Storage Space,Car Charging Station,Air Conditioning","30,000 SF",Rochester,"Rental Rate,$8.00 - $10.00 /SF/YR,Rentable Building Area,30,000 SF,Property Type,Industrial,Year Built,1940,Property Subtype,Warehouse",10/14/2019,15282292,$0.67 - $0.83 SF/Mo,Industrial,"2,636 - 11,144 SF",2 Spaces,NY,For Lease,"Office, Office/Medical","[('Greater Rochester International Airport', '11 min drive', '6.1 mi'), ('Albany, NY Port', '272 min drive', '229.3 mi'), ('J. MacKenzie Limited', '19 min drive', '9.4 mi')]",
348 Old Niskayuna Rd,Fenced Lot,"63,752 SF",Albany,"Rental Rate,$7.75 /SF/YR,Rentable Building Area,63,752 SF,Property Type,Industrial,Year Built,2020,Property Subtype,Warehouse,Construction Status,Under Construction",11/8/2018,14331836,$0.65 SF/Mo,Industrial,"27,105 SF",1 Space,NY,For Lease,Industrial,,"Gas,Water,Heating - Gas"
348 Troutman St,Commuter Rail,"22,000 SF",Brooklyn,"Rental Rate,$25.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,500 SF,Rentable Building Area,22,000 SF,Property Type,Industrial,Year Built,1931",10/17/2019,12830796,$2.08 SF/Mo,Industrial,"500 - 19,499 SF",2 Spaces,NY,For Lease,"Office, Industrial","[('Jefferson Street Transit Stop', '3 min walk', '0.1 mi'), ('DeKalb Avenue', '9 min walk', '0.4 mi'), ('Morgan Avenue Transit Stop', '11 min walk', '0.5 mi'), ('Knickerbocker Avenue', '13 min walk', '0.7 mi'), ('Central Avenue Transit Stop', '13 min walk', '0.7 mi'), ('Nostrand Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '8 min drive', '3.2 mi'), ('East New York Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Far Rockaway Branch)', '8 min drive', '3.3 mi'), ('La Guardia Airport', '14 min drive', '6.9 mi'), ('John F. Kennedy International Airport', '20 min drive', '10.6 mi'), ('Newark Liberty International Airport', '37 min drive', '16.9 mi'), ('NY - Red Hook Container Terminal', '12 min drive', '5.5 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '7 min drive', '2.5 mi')]",Heating - Fired Oil
23 Ganson Ave,,"100,000 SF",Batavia,"Rental Rate,$3.25 /SF/YR,Rentable Building Area,100,000 SF,Property Type,Industrial,Year Built,1980,Property Subtype,Warehouse",4/30/2019,15905153,$0.27 SF/Mo,Industrial,"22,000 SF",1 Space,NY,For Lease,Industrial,"[('Greater Rochester International Airport', '46 min drive', '30.5 mi'), ('Buffalo Niagara International Airport', '46 min drive', '32.6 mi'), ('Albany, NY Port', '299 min drive', '252.8 mi'), ('AVLIN FARM STORE ELEVATOR-CALEDONIA-NY', '34 min drive', '21.9 mi')]",
164 19th St,24 Hour Access,"10,300 SF",Brooklyn,"Rental Rate,$27.78 /SF/YR,Rentable Building Area,10,300 SF,Property Type,Industrial,Year Built,1968,Property Subtype,Warehouse",2/4/2018,11485998,$2.32 SF/Mo,Industrial,"10,300 SF",1 Space,NY,For Lease,Industrial,,"Lighting - Fluorescent,Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Gas"
43 Bogart St,,"5,015 SF",Brooklyn,"Rental Rate,$58.00 /SF/YR,Rentable Building Area,5,015 SF,Property Type,Industrial,Year Built,1931,Property Subtype,Warehouse",6/24/2019,16433468,$4.83 SF/Mo,Industrial,878 SF,1 Space,NY,For Lease,Retail,"[('Morgan Avenue Transit Stop', '3 min walk', '0.1 mi'), ('Montrose Avenue Transit Stop', '11 min walk', '0.5 mi'), ('Flushing Avenue', '13 min walk', '0.6 mi'), ('Jefferson Street Transit Stop', '13 min walk', '0.6 mi'), ('Myrtle Avenue Transit Stop', '14 min walk', '0.7 mi'), ('Nostrand Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '7 min drive', '2.9 mi'), ('East New York Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Far Rockaway Branch)', '8 min drive', '3.3 mi'), ('La Guardia Airport', '14 min drive', '8.0 mi'), ('John F. Kennedy International Airport', '20 min drive', '11.8 mi'), ('Newark Liberty International Airport', '36 min drive', '16.2 mi'), ('NY - Red Hook Container Terminal', '11 min drive', '5.2 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '8 min drive', '3.6 mi')]",
22 Sawgrass Dr,"Property Manager on Site,Air Conditioning","11,900 SF",Bellport,"Rental Rate,$13.95 /SF/YR,Property Subtype,Warehouse,Min. Divisible,1,300 SF,Rentable Building Area,11,900 SF,Property Type,Industrial,Year Built,2003",2/27/2020,17099858,$1.16 SF/Mo,Industrial,"1,300 - 2,150 SF",1 Space,NY,For Lease,Office,"[('Bellport Station Commuter Rail (Montauk Branch)', '6 min drive', '2.5 mi'), ('Yaphank Station Commuter Rail (Greenport Branch)', '8 min drive', '3.6 mi'), ('Long Island MacArthur Airport', '18 min drive', '10.3 mi'), ('NY - Red Hook Container Terminal', '79 min drive', '61.5 mi'), ('Pinter Warehouse', '33 min drive', '22.8 mi')]",
120 Eileen Way,Fenced Lot,"30,000 SF",Syosset,"Rental Rate,$15.50 /SF/YR,Building Class,C,Property Type,Flex,Rentable Building Area,30,000 SF,Property Subtype,Light Distribution,Industrial Warehouse,Year Built,1963",4/11/2018,11445497,$1.29 SF/Mo,Flex,"30,000 SF",1 Space,NY,For Lease,Flex,"[('Syosset Station Commuter Rail (Port Jefferson Branch)', '6 min drive', '2.2 mi'), ('Hicksville Station Commuter Rail (Ronkonkoma Branch, Port Jefferson Branch, Montauk Branch)', '7 min drive', '3.5 mi'), ('John F. Kennedy International Airport', '31 min drive', '21.8 mi'), ('La Guardia Airport', '33 min drive', '22.1 mi'), ('Westchester County Airport', '64 min drive', '42.3 mi')]","Water - City Water,Sewer - City Sewer,Heating - Fired Oil"
7940 Cooper Ave,,"15,000 SF",Flushing,"Rental Rate,$48.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,1,000 SF,Rentable Building Area,15,000 SF,Property Type,Industrial,Year Built,2019",10/1/2019,17338982,$4.00 SF/Mo,Industrial,"1,000 - 5,000 SF",1 Space,NY,For Lease,Industrial,"[('Forest Hills Station Commuter Rail (Long Beach Branch, Port Jefferson Branch, Hempstead Branch, Babylon Branch)', '6 min drive', '2.0 mi'), ('Kew Gardens Station Commuter Rail (Long Beach Branch, Port Jefferson Branch, Hempstead Branch, Babylon Branch)', '6 min drive', '2.4 mi'), ('La Guardia Airport', '14 min drive', '7.0 mi'), ('John F. Kennedy International Airport', '15 min drive', '9.2 mi'), ('Newark Liberty International Airport', '42 min drive', '19.9 mi'), ('NY - Red Hook Container Terminal', '17 min drive', '8.4 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '3 min drive', '1.0 mi')]",
417-429 State St,"Bus Line,Signage","35,373 SF",Rochester,"Rental Rate,$3.36 /SF/YR,Rentable Building Area,35,373 SF,Property Type,Industrial,Year Built,1950,Property Subtype,Warehouse,Cross Streets,Brown St.",11/1/2019,17607004,$0.28 SF/Mo,Industrial,"2,500 SF",1 Space,NY,For Lease,Office,"[('Greater Rochester International Airport', '9 min drive', '4.5 mi'), ('Albany, NY Port', '269 min drive', '227.8 mi'), ('J. MacKenzie Limited', '17 min drive', '8.0 mi')]",
758 Humboldt St,"24 Hour Access,Security System,Storage Space","22,000 SF",Brooklyn,"Rental Rate,$25.00 /SF/YR,Rentable Building Area,22,000 SF,Property Type,Industrial,Year Built,1931,Property Subtype,Warehouse",12/4/2019,17867502,$2.08 SF/Mo,Industrial,"7,500 SF",1 Space,NY,For Lease,Industrial,"[('Nassau Avenue Transit Stop', '9 min walk', '0.4 mi'), ('Greenpoint Avenue Transit Stop', '14 min walk', '0.7 mi'), ('Graham Avenue Transit Stop', '20 min walk', '1.0 mi'), ('Hunterspoint Avenue Station Commuter Rail (Oyster Bay Branch, Hempstead Branch)', '5 min drive', '1.6 mi'), ('Long Island City Station Commuter Rail (Hempstead Branch)', '6 min drive', '2.2 mi'), ('La Guardia Airport', '12 min drive', '6.3 mi'), ('John F. Kennedy International Airport', '22 min drive', '14.7 mi'), ('Newark Liberty International Airport', '36 min drive', '19.2 mi'), ('NY - Red Hook Container Terminal', '12 min drive', '5.7 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '11 min drive', '4.8 mi')]",Heating - Gas
