,address,amenities,buildingSize,city,highlights,hoodMarket,listingDate,price,propOverview,propType,spaceAvailable,spaceBullets,spaceSummary,spaces,state,subType,transport,utilities,yearBuilt,yearRenovated,ceilingHeight,numDriveIns,numLoadingDocks,propInfo
947,1511 FM 1960,"['Bus Line', 'Fenced Lot', 'Yard', 'Storage Space']",12000,Houston,"12,000sqft Industrial Space,10 ton crane ready,(2) 14 x 16 grade level doors,28' Eave height,3 phase / 480v Power,Fenced and gated",,2019-05-01,0.85,"12,000sf Office Warehouse building for lease located at 1511 FM 1960 Rd on the North West corner of Hardy Toll Rd. and FM 1960. Approximately 33,977 sf site, 28' Eave height, 10 ton crane ready, (2) 14' x 16' grade level doors, fully insulated, 3 phase / 480 v power, fenced & gated, office BTS,",Industrial,12000,"New space, never previously occupied,12,000sqft Industrial,(2) 14' x 16' grade level doors,3 phase / 480 v,Lease rate does not include utilities, property expenses or building services,10 ton crane ready,28' eave height,Fenced and gated","12,000-square-foot office warehouse building will include 28' Eave height, (2) 14'x16' grade level doors and 3 phase / 480v power. Fenced and gated / 10 ton crane ready.  Office BTS",1,TX,Industrial,"defaultdict(None, {'Houston George Bush Intercontinental Airport': [10.5, 13.0, 48.5], 'William P. Hobby Airport': [33.1, 46.0, 43.2], 'Port of Houston': [25.9, 33.0, 47.1], 'UNION PACIFIC BULK TAINER SERVICE-SPRING-TX': [4.5, 7.0, 38.6]})","['Sewer', 'Lighting']",2019,2019,28,1,1,"12,000sqft Industrial Space,10 ton crane ready,(2) 14 x 16 grade level doors,28' Eave height,3 phase / 480v Power,Fenced and gated
12,000-square-foot office warehouse building will include 28' Eave height, (2) 14'x16' grade level doors and 3 phase / 480v power. Fenced and gated / 10 ton crane ready.  Office BTS
New space, never previously occupied,12,000sqft Industrial,(2) 14' x 16' grade level doors,3 phase / 480 v,Lease rate does not include utilities, property expenses or building services,10 ton crane ready,28' eave height,Fenced and gated
12,000sf Office Warehouse building for lease located at 1511 FM 1960 Rd on the North West corner of Hardy Toll Rd. and FM 1960. Approximately 33,977 sf site, 28' Eave height, 10 ton crane ready, (2) 14' x 16' grade level doors, fully insulated, 3 phase / 480 v power, fenced & gated, office BTS,
"
948,1515 FM 1960,"['Bus Line', 'Fenced Lot', 'Yard', 'Storage Space']",12000,Houston,"12,000sqft Industrial Space,28' eave height,Fenced and gated,10 ton crane ready,3 phase / 480v power,Office BTS",,2019-05-01,0.85,"12,000sf Office Warehouse for lease located at 1515 FM 1960 Rd on the North West corner of Hardy Toll Rd. and FM 1960. Approximately 33,977 sf site, 28' Eave height, 10 ton crane ready, (2) 14' x 16' grade level doors, fully insulated, 3 phase / 480 v power, fenced & gated, office BTS,",Industrial,12000,"New space, never previously occupied,Lease rate does not include utilities, property expenses or building services","This proposed 12,000-square-foot office warehouse building will include 28' Eave height, (2) 14'x16' grade level doors and 3 phase / 480v power. Fenced and gated / 10 ton crane ready",1,TX,Industrial,"defaultdict(None, {'Houston George Bush Intercontinental Airport': [10.5, 13.0, 48.5], 'William P. Hobby Airport': [33.1, 46.0, 43.2], 'Port of Houston': [25.9, 33.0, 47.1], 'UNION PACIFIC BULK TAINER SERVICE-SPRING-TX': [4.5, 7.0, 38.6]})","['Sewer', 'Lighting']",2019,2019,28,1,1,"12,000sqft Industrial Space,28' eave height,Fenced and gated,10 ton crane ready,3 phase / 480v power,Office BTS
This proposed 12,000-square-foot office warehouse building will include 28' Eave height, (2) 14'x16' grade level doors and 3 phase / 480v power. Fenced and gated / 10 ton crane ready
New space, never previously occupied,Lease rate does not include utilities, property expenses or building services
12,000sf Office Warehouse for lease located at 1515 FM 1960 Rd on the North West corner of Hardy Toll Rd. and FM 1960. Approximately 33,977 sf site, 28' Eave height, 10 ton crane ready, (2) 14' x 16' grade level doors, fully insulated, 3 phase / 480 v power, fenced & gated, office BTS,
"
949,10800 Blackhawk Blvd,"['Fenced Lot', 'Fluorescent Lighting', 'Air Conditioning']",42000,Houston,"On a 4 lane street with a left turn insert for north bound traffic.  Easy access and exit. South Beltway 8 and I-45 (Gulf Frwy) are close.,ADJACENT 3.66 ACRES AVAILABLE FOR PURCHASE NORTH OF PROPERTY ON BLACKHAWK BLVD.,PROPERTY IS ALSO FOR SALE AT: $2,800,000.00,Building has been used as an industrial, manufacturing site. Has heavy power. Tilt-Wall construction,There are two security entry gates in front.,Broker has obtained information from sources deemed reliable but not warrant any of it. All parties to verity all information to their satisfaction.",,2019-05-02,0.45,"Industrial Manufacturing facility located south of S. Beltway 8 and west of I-45(Gulf Frwy, at 10800 Blackhawk Blvd.  Has heavy power,  Building has a 5 ton overhead crane in approx. 16,000 sf space with 30' ceiling, approx. 17,000 sf space with dropped ceiling and air conditioned, and approx. 6,000 sf office.There are four grade level roll up doors. Fronts on 4 lane Blackhawk Blvd with a left turn inset to enter property for north bound traffic. Two restrooms in lobby area for office staff, two large restrooms for warehouse workers with one containing a shower, and another restroom at the rear of the building.  Adjacent 3.66 acres available for purchase on Blackhawk Blvd. north of property. 
   HCAD lists 1985 as year built. Broker obtained information from sources deemed reliable but does not warrant any information listed. Anyone interested in property must verify information to their own satisfaction.",Industrial,42000,"Lease rate does not include utilities, property expenses or building services,3 Drive Ins,Reception Area,Shower Facilities,Includes 6,000 SF of dedicated office space,Central Air and Heating,Drop Ceilings","Has large air conditioned area with drop ceiling around 17,000 sf. Has one roll up door coming into area. 
5 ton crane on rail in warehouse with two roll up doors in front and one roll up door in rear, not for vehicle traffic. Warehouse space is around 18,000 sf and estimated 30' ceiling.",1,TX,Industrial,"defaultdict(None, {'William P. Hobby Airport': [5.5, 14.0, 23.6], 'Ellington Field Airport': [10.8, 22.0, 29.5], 'Houston George Bush Intercontinental Airport': [39.1, 45.0, 52.1], 'Port of Houston': [12.8, 23.0, 33.4], 'BNSF-HOUSTON-TX': [5.9, 10.0, 35.4]})","['Heating', 'Fluorescent', 'Lighting', 'Sewer']",1985,1985,10,3,1,"On a 4 lane street with a left turn insert for north bound traffic.  Easy access and exit. South Beltway 8 and I-45 (Gulf Frwy) are close.,ADJACENT 3.66 ACRES AVAILABLE FOR PURCHASE NORTH OF PROPERTY ON BLACKHAWK BLVD.,PROPERTY IS ALSO FOR SALE AT: $2,800,000.00,Building has been used as an industrial, manufacturing site. Has heavy power. Tilt-Wall construction,There are two security entry gates in front.,Broker has obtained information from sources deemed reliable but not warrant any of it. All parties to verity all information to their satisfaction.
Has large air conditioned area with drop ceiling around 17,000 sf. Has one roll up door coming into area. 
5 ton crane on rail in warehouse with two roll up doors in front and one roll up door in rear, not for vehicle traffic. Warehouse space is around 18,000 sf and estimated 30' ceiling.
Lease rate does not include utilities, property expenses or building services,3 Drive Ins,Reception Area,Shower Facilities,Includes 6,000 SF of dedicated office space,Central Air and Heating,Drop Ceilings
Industrial Manufacturing facility located south of S. Beltway 8 and west of I-45(Gulf Frwy, at 10800 Blackhawk Blvd.  Has heavy power,  Building has a 5 ton overhead crane in approx. 16,000 sf space with 30' ceiling, approx. 17,000 sf space with dropped ceiling and air conditioned, and approx. 6,000 sf office.There are four grade level roll up doors. Fronts on 4 lane Blackhawk Blvd with a left turn inset to enter property for north bound traffic. Two restrooms in lobby area for office staff, two large restrooms for warehouse workers with one containing a shower, and another restroom at the rear of the building.  Adjacent 3.66 acres available for purchase on Blackhawk Blvd. north of property. 
   HCAD lists 1985 as year built. Broker obtained information from sources deemed reliable but does not warrant any information listed. Anyone interested in property must verify information to their own satisfaction.
"
950,6121 Griggs Rd,['Fenced Lot'],39399,Houston,,,2019-05-15,0.85,,Industrial,5000,"Listed rate may not include certain utilities, building services and property expenses,Private Restrooms,Reception Area","¨ 5,000 sf 100% Office 
¨ Single Tenant 
¨ Conference Room, Break Room, 4 Bathrooms, 11 Private Offices, Reception, Large Bullpen Area 
¨ 20+ Parking Spaces 
¨ Fenced Parking Lot 
¨ Available Immediately 
¨ No Flooding 
",1,TX,Industrial,"defaultdict(None, {'William P. Hobby Airport': [7.2, 18.0, 24.0], 'Ellington Field Airport': [17.6, 32.0, 33.0], 'Houston George Bush Intercontinental Airport': [24.7, 33.0, 44.9], 'Port of Houston': [6.6, 13.0, 30.5], 'GULF WINDS INTERNATIONAL, INC.-MYKAWA-TX': [2.1, 6.0, 21.0]})","['Heating', 'Gas']",1965,1965,10,1,1,"
¨ 5,000 sf 100% Office 
¨ Single Tenant 
¨ Conference Room, Break Room, 4 Bathrooms, 11 Private Offices, Reception, Large Bullpen Area 
¨ 20+ Parking Spaces 
¨ Fenced Parking Lot 
¨ Available Immediately 
¨ No Flooding 

Listed rate may not include certain utilities, building services and property expenses,Private Restrooms,Reception Area

"
951,10851 Train Ct,['Fenced Lot'],17373,Houston,,,2019-05-23,0.65,"+/- 17,373sf Office/Warehouse
 +/- 4,500sf of Class-A Office Space
Total of 1.47 Acres, Fully Stabilized Yard
(2) 12’ x 16’ Overhead Doors
3PH Power; Fenced Outside Storage
28’ Clear Height; Brittmoore Tanner BP
Tilt-Wall Construction
Easy Access to Beltway 8, I-10, & Hwy 290",Industrial,17373,"Sublease space available from current tenant,Includes 4,500 SF of dedicated office space,Lease rate does not include utilities, property expenses or building services,2 Drive Ins","• +/- 17,373sf Office/Warehouse
• +/- 4,500sf of Class-A Office Space
• Total of 1.47 Acres, Fully Stabilized Yard
• (2) 12’ x 16’ Overhead Doors
• 3PH Power; Fenced Outside Storage
• 28’ Clear Height; Brittmoore Tanner BP
• Tilt-Wall Construction
• Easy Access to Beltway 8, I-10, & Hwy 290",1,TX,Industrial,"defaultdict(None, {'Houston George Bush Intercontinental Airport': [23.2, 28.0, 49.7], 'William P. Hobby Airport': [31.9, 45.0, 42.5], 'Ellington Field Airport': [43.4, 57.0, 45.7], 'Port of Houston': [27.1, 34.0, 47.8], 'TENCON INDUSTRIES, INC.-HOUSTON-TX': [11.5, 16.0, 43.1]})",[],2004,2004,10,2,1,"
• +/- 17,373sf Office/Warehouse
• +/- 4,500sf of Class-A Office Space
• Total of 1.47 Acres, Fully Stabilized Yard
• (2) 12’ x 16’ Overhead Doors
• 3PH Power; Fenced Outside Storage
• 28’ Clear Height; Brittmoore Tanner BP
• Tilt-Wall Construction
• Easy Access to Beltway 8, I-10, & Hwy 290
Sublease space available from current tenant,Includes 4,500 SF of dedicated office space,Lease rate does not include utilities, property expenses or building services,2 Drive Ins
+/- 17,373sf Office/Warehouse
 +/- 4,500sf of Class-A Office Space
Total of 1.47 Acres, Fully Stabilized Yard
(2) 12’ x 16’ Overhead Doors
3PH Power; Fenced Outside Storage
28’ Clear Height; Brittmoore Tanner BP
Tilt-Wall Construction
Easy Access to Beltway 8, I-10, & Hwy 290
"
952,1900 Crosspoint Ave,['Fenced Lot'],54869,Houston,,,2019-06-03,0.44,,Industrial,54869,"Lease rate does not include utilities, property expenses or building services,7 Drive Ins,Includes 8,476 SF of dedicated office space,1 Loading Dock","· 46,393 ± SF warehouse   
· 8,476 ± SF office   
· 7 drive-ins, 2 dock wells; 1 semi-dock loading position   
· Fully sprinklered   
· Ample parking   
· Free-standing building; tilt wall construction   
· Fenced truck court   
· Walking distance to METRORail   
· Excellent proximity to the Texas Medical Center.",1,TX,Industrial,"defaultdict(None, {'William P. Hobby Airport': [12.5, 25.0, 30.0], 'Ellington Field Airport': [23.3, 39.0, 35.8], 'Houston George Bush Intercontinental Airport': [26.7, 34.0, 47.1], 'Port of Houston': [12.4, 20.0, 37.2], 'GULF WINDS INTERNATIONAL, INC.-MYKAWA-TX': [6.6, 12.0, 33.0]})",['Sewer'],1981,1981,10,7,1,"
· 46,393 ± SF warehouse   
· 8,476 ± SF office   
· 7 drive-ins, 2 dock wells; 1 semi-dock loading position   
· Fully sprinklered   
· Ample parking   
· Free-standing building; tilt wall construction   
· Fenced truck court   
· Walking distance to METRORail   
· Excellent proximity to the Texas Medical Center.
Lease rate does not include utilities, property expenses or building services,7 Drive Ins,Includes 8,476 SF of dedicated office space,1 Loading Dock

"
953,5211 Ted St,"['Fenced Lot', 'Yard']",12500,Houston,,,2019-06-04,0.59,"Total SF: ± 12,500 SF
Office: ± 1,000 SF
Land: ± 0.80 Acres Fully Fenced & Paved Outside Storage
Year Built: 1998
Construction: Tilt-wall
Loading: Two (2) Grade-Level Doors
Power: 3 Phase
Lease Rate: $0.59 SF/Month NNN
*Additional ± 20,500 Available Next Door At 7730 Pinemont",Industrial,12500,"Lease rate does not include utilities, property expenses or building services,Includes 1,000 SF of dedicated office space","Total SF: ± 12,500 SF
Office: ± 1,000 SF
Land: ± 0.80 Acres Fully Fenced & Paved Outside Storage
Year Built: 1998
Construction: Tilt-wall
Loading: Two (2) Grade-Level Doors
Power: 3 Phase

Lease Rate: $0.59 SF/Month NNN
*Additional ± 20,500 Available Next Door At 7730 Pinemont",1,TX,Industrial,"defaultdict(None, {'Houston George Bush Intercontinental Airport': [24.6, 30.0, 49.2], 'William P. Hobby Airport': [25.9, 39.0, 39.8], 'Ellington Field Airport': [35.8, 53.0, 40.5], 'Port of Houston': [21.1, 28.0, 45.2], 'TENCON INDUSTRIES, INC.-HOUSTON-TX': [6.5, 14.0, 27.9]})",[],1998,1998,10,1,1,"
Total SF: ± 12,500 SF
Office: ± 1,000 SF
Land: ± 0.80 Acres Fully Fenced & Paved Outside Storage
Year Built: 1998
Construction: Tilt-wall
Loading: Two (2) Grade-Level Doors
Power: 3 Phase

Lease Rate: $0.59 SF/Month NNN
*Additional ± 20,500 Available Next Door At 7730 Pinemont
Lease rate does not include utilities, property expenses or building services,Includes 1,000 SF of dedicated office space
Total SF: ± 12,500 SF
Office: ± 1,000 SF
Land: ± 0.80 Acres Fully Fenced & Paved Outside Storage
Year Built: 1998
Construction: Tilt-wall
Loading: Two (2) Grade-Level Doors
Power: 3 Phase
Lease Rate: $0.59 SF/Month NNN
*Additional ± 20,500 Available Next Door At 7730 Pinemont
"
954,7730 Pinemont Dr,"['Fenced Lot', 'Yard']",20500,Houston,,,2019-06-04,0.59,"Total SF: ± 20,500 SF
Office: ± 3,000 SF on Two (2) Floors
Land: ± 1.24 Acres
Fully Fenced & Paved Outside Storage
Year Built: 1998
Eave Height: ± 24´
Construction: Tilt-wall
Loading: Two (2) Grade-Level Doors, One (1) Dock Well
Power: 3 Phase
Lease Rate: $0.59 SF/ Month (NNN)
* Additional ± 12,500 SF Available Next Door at 5211 Ted Street",Industrial,20500,"Lease rate does not include utilities, property expenses or building services,Includes 3,000 SF of dedicated office space",,1,TX,Industrial,"defaultdict(None, {'Houston George Bush Intercontinental Airport': [24.5, 30.0, 49.0], 'William P. Hobby Airport': [26.0, 40.0, 39.0], 'Ellington Field Airport': [35.9, 53.0, 40.6], 'Port of Houston': [21.2, 28.0, 45.4], 'TENCON INDUSTRIES, INC.-HOUSTON-TX': [6.6, 14.0, 28.3]})",[],1998,1998,10,1,1,"

Lease rate does not include utilities, property expenses or building services,Includes 3,000 SF of dedicated office space
Total SF: ± 20,500 SF
Office: ± 3,000 SF on Two (2) Floors
Land: ± 1.24 Acres
Fully Fenced & Paved Outside Storage
Year Built: 1998
Eave Height: ± 24´
Construction: Tilt-wall
Loading: Two (2) Grade-Level Doors, One (1) Dock Well
Power: 3 Phase
Lease Rate: $0.59 SF/ Month (NNN)
* Additional ± 12,500 SF Available Next Door at 5211 Ted Street
"
955,10550 Old Bammel N Houston Rd,None,8640,Houston,,,2019-06-10,0.68,,Industrial,8640,"Lease rate does not include certain property expenses,Includes 525 SF of dedicated office space","This 8640 square foot property is available for both lease and sale. Built in 2006 this property sports single phase power, and is fully fenced and secure. Lease rate is $5,875 per month. Call broker for sale price.",1,TX,Industrial,"defaultdict(None, {'Houston George Bush Intercontinental Airport': [13.6, 17.0, 48.0], 'William P. Hobby Airport': [29.2, 42.0, 41.7], 'Port of Houston': [24.4, 32.0, 45.8], 'TENCON INDUSTRIES, INC.-HOUSTON-TX': [1.7, 5.0, 20.4]})",[],2006,2006,10,1,1,"
This 8640 square foot property is available for both lease and sale. Built in 2006 this property sports single phase power, and is fully fenced and secure. Lease rate is $5,875 per month. Call broker for sale price.
Lease rate does not include certain property expenses,Includes 525 SF of dedicated office space

"
956,8303 Mchard Rd,"['Fenced Lot', 'Skylights']",62500,Houston,,,2019-06-11,0.9,,Industrial,15000,"Lease rate does not include utilities, property expenses or building services,Fits 38 - 120 People,Mostly Open Floor Plan Layout","±15,000 s.f. total available Class A
Second-story office space
Private stairwell & elevator",1,TX,Office,"defaultdict(None, {'William P. Hobby Airport': [14.1, 24.0, 35.2], 'Ellington Field Airport': [23.0, 36.0, 38.3], 'Houston George Bush Intercontinental Airport': [35.0, 43.0, 48.8], 'Port of Houston': [18.4, 30.0, 36.8], 'GULF WINDS INTERNATIONAL, INC.-MYKAWA-TX': [12.6, 23.0, 32.9]})",[],2006,2006,10,1,1,"
±15,000 s.f. total available Class A
Second-story office space
Private stairwell & elevator
Lease rate does not include utilities, property expenses or building services,Fits 38 - 120 People,Mostly Open Floor Plan Layout

"
