"Date","Loaded Inbound","Loaded Outbound","Total Loaded","Empties","Total"
"Mar 2020","234,570","145,442","380,011","137,652","517,663"
"Feb 2020","248,592","125,559","374,151","164,277","538,428"
"Jan 2020","309,961","108,624","418,585","208,244","626,829"
"Dec 2019","323,231","125,395","448,625","216,636","665,261"
"Nov 2019","293,287","123,705","416,993","182,992","599,985"
"Oct 2019","337,062","131,635","468,697","219,728","688,425"
"Sep 2019","354,919","123,215","478,134","228,821","706,955"
"Aug 2019","322,780","124,975","447,755","216,238","663,992"
"Jul 2019","313,350","111,654","425,003","196,777","621,780"
"Jun 2019","331,617","133,833","465,449","211,718","677,167"
"May 2019","290,568","120,577","411,145","162,479","573,623"
"Apr 2019","317,883","123,804","441,687","186,435","628,122"
"Mar 2019","247,039","131,436","378,475","174,346","552,821"
"Feb 2019","302,865","105,287","408,152","188,465","596,616"
"Jan 2019","323,838","117,288","441,126","216,160","657,286"
"Dec 2018","373,098","113,329","486,427","255,220","741,647"
"Nov 2018","319,877","115,774","435,652","186,183","621,835"
"Oct 2018","364,084","119,837","483,921","221,487","705,408"
"Sep 2018","357,301","121,561","478,861","222,343","701,204"
"Aug 2018","343,029","119,546","462,575","216,968","679,543"
"Jul 2018","347,736","119,747","467,483","220,975","688,457"
"Jun 2018","384,095","135,168","519,262","232,926","752,188"
"May 2018","361,056","142,412","503,468","183,959","687,427"
"Apr 2018","312,376","141,799","454,174","164,264","618,438"
"Mar 2018","267,824","142,419","410,243","165,015","575,258"
"Feb 2018","342,247","130,916","473,162","188,628","661,790"
"Jan 2018","324,656","120,503","445,159","212,671","657,830"
"Dec 2017","345,721","137,449","483,169","213,749","696,918"
"Nov 2017","319,210","126,364","445,574","167,085","612,659"
"Oct 2017","339,013","126,150","465,163","204,055","669,218"
"Sep 2017","366,298","125,336","491,634","209,985","701,619"
"Aug 2017","355,715","117,290","473,005","219,370","692,375"
"Jul 2017","378,820","126,098","504,918","215,394","720,312"
"Jun 2017","335,328","118,304","453,632","205,095","658,727"
"May 2017","336,594","118,786","455,380","192,908","648,287"
"Apr 2017","288,207","116,260","404,467","153,547","558,014"
"Mar 2017","249,534","120,435","369,969","135,413","505,382"
"Feb 2017","249,759","119,811","369,569","128,742","498,311"
"Jan 2017","298,990","118,234","417,224","165,465","582,689"
"Dec 2016","271,599","122,933","394,532","154,397","548,929"
"Nov 2016","270,610","120,897","391,507","142,801","534,308"
"Oct 2016","296,711","126,770","423,481","158,327","581,808"
"Sep 2016","282,945","120,383","403,328","143,476","546,805"
"Aug 2016","321,625","159,247","480,872","160,157","641,029"
"Jul 2016","325,608","142,812","468,420","168,671","637,091"
"Jun 2016","313,526","128,099","441,625","161,714","603,339"
"May 2016","330,639","138,594","469,233","171,333","640,566"
"Apr 2016","247,316","112,805","360,121","118,721","478,842"
"Mar 2016","207,635","127,210","334,845","130,010","464,855"
"Feb 2016","295,870","123,010","418,880","142,532","561,412"
"Jan 2016","278,491","106,739","385,230","150,958","536,188"
"Dec 2015","296,002","126,118","422,120","174,328","596,448"
"Nov 2015","306,654","124,717","431,371","188,328","619,699"
"Oct 2015","307,995","128,308","436,303","183,681","619,983"
"Sep 2015","332,909","125,639","458,548","197,076","655,624"
"Aug 2015","358,262","138,765","497,027","206,625","703,652"
"Jul 2015","345,912","143,875","489,787","200,457","690,245"
"Jun 2015","297,189","128,223","425,412","158,209","583,621"
"May 2015","327,317","135,855","463,172","172,078","635,250"
"Apr 2015","317,376","137,546","454,922","159,938","614,860"
"Mar 2015","317,520","127,337","444,857","185,227","630,084"
"Feb 2015","204,462","110,711","315,173","97,941","413,114"
"Jan 2015","213,667","98,462","312,129","117,361","429,490"
"Dec 2014","276,516","131,496","408,012","159,225","567,237"
"Nov 2014","293,984","129,960","423,944","157,570","581,514"
"Oct 2014","310,482","120,445","430,927","152,082","583,009"
"Sep 2014","339,343","118,412","457,755","172,016","629,771"
"Aug 2014","300,851","126,856","427,707","145,376","573,083"
"Jul 2014","297,615","124,126","421,741","161,319","583,060"
"Jun 2014","316,054","140,034","456,088","154,428","610,515"
"May 2014","312,439","146,702","459,141","140,368","599,509"
"Apr 2014","295,712","146,498","442,210","127,633","569,843"
"Mar 2014","223,432","153,883","377,315","99,894","477,209"
"Feb 2014","271,671","143,572","415,243","101,930","517,173"
"Jan 2014","279,415","122,411","401,826","127,058","528,884"
"Dec 2013","291,434","148,150","439,584","142,859","582,443"
"Nov 2013","296,638","151,950","448,588","121,011","569,599"
"Oct 2013","298,271","141,457","439,728","136,774","576,502"
"Sep 2013","307,981","134,676","442,657","144,457","587,114"
"Aug 2013","327,817","154,118","481,935","148,357","630,292"
"Jul 2013","294,926","132,290","427,216","134,950","562,166"
"Jun 2013","290,448","133,800","424,248","141,228","565,476"
"May 2013","305,498","147,073","452,571","131,017","583,588"
"Apr 2013","264,337","137,864","402,201","117,263","519,464"
"Mar 2013","224,913","156,212","381,125","105,574","486,699"
"Feb 2013","279,144","140,626","419,770","111,197","530,967"
"Jan 2013","273,918","126,714","400,632","135,631","536,263"
"Dec 2012","295,579","135,561","431,140","128,980","560,120"
"Nov 2012","278,534","138,312","416,846","138,667","555,513"
"Oct 2012","276,698","133,503","410,201","120,112","530,313"
"Sep 2012","265,102","114,902","380,004","132,016","512,020"
"Aug 2012","274,977","128,225","403,202","140,243","543,445"
"Jul 2012","261,233","124,574","385,807","136,679","522,486"
"Jun 2012","280,526","133,649","414,175","141,184","555,359"
"May 2012","249,937","129,083","379,020","118,872","497,892"
