Rank(by total trade),Port name,State,Total trade,Foreign imports,Foreign exports,Foreign total,Domestic total
1,Port of South Louisiana,Louisiana,"238,585,604","38,247,047","73,487,319","111,734,366","126,851,238"
2,Port of Houston,Texas,"229,246,833","76,448,532","83,102,459","159,550,991","69,695,842"
3,Port of New York,New York,123322644,"56,144,985","20,461,245","76,606,230","46,716,414"
4,Port of Beaumont,Texas,"94,403,631","48,544,096","12,488,386","61,032,482","33,371,149"
5,Port of Long Beach,California,"84,492,739","46,019,573","27,652,598","73,672,171","10,820,568"
6,Port of Hampton Roads,Virginia,"78,664,496","9,671,323","61,673,749","71,345,072","7,319,424"
7,Port of New Orleans,Louisiana,"77,159,081","15,413,666","18,588,978","34,002,644","43,156,437"
8,Port of Corpus Christi,Texas,"76,157,693","28,469,897","15,776,788","44,246,685","31,911,008"
9,Port of Greater Baton Rouge,Louisiana,"63,875,439","14,429,910","10,713,197","25,143,107","38,732,332"
10,Port of Los Angeles,California,"57,928,594","31,506,185","20,499,092","52,005,277","5,923,317"
11,Plaquemines Port,Louisiana,"58,280,348","1,668,182","22,974,084","24,642,266","33,638,082"
12,Port of Lake Charles,Louisiana,"56,577,328","22,124,549","8,960,143","31,084,692","25,492,636"
13,Port of Mobile,Alabama,"53,992,615","12,493,015","18,178,382","30,671,397","23,321,218"
14,Port of Texas City,Texas,"49,674,036","18,977,066","11,415,009","30,392,075","19,281,961"
15,Port of Huntington-Tristate,West Virginia,"46,831,097",,,,"46,831,097"
16,Port of Baltimore,Maryland,36477257,"10,645,458","19,347,371","29,992,829","6,585,999"
17,Twin Ports of Duluth and Superior,Wisconsin,"36,477,257","659,886","7,087,895","7,747,781","28,729,476"
18,Port of Port Arthur,Texas,"34,699,150","9,652,814","15,506,956","25,159,770","9,539,380"
19,Port of St. Louis and East St. Louis,Illinois,"33,574,650",,,,"33,574,650"
20,Port of Pittsburgh,Pennsylvania,33574650,,,,"32,746,315"
21,Pascagoula,Mississippi,"32,427,863","16,445,106","7,660,249","24,105,355","8,322,508"
22,Port of Tampa Bay,Florida,"32,406,550","5,764,600","4,940,136","10,704,736","21,701,814"
23,Port of Savannah,Georgia,"31,990,023","13,340,970","16,892,830","30,233,800","1,756,223"
24,Valdez,Alaska,"28,165,948","2,626",,"2,626","28,163,322"
25,Port of Philadelphia,Pennsylvania,"26,046,318","13,969,775","888,169","14,857,944","11,188,374"
26,Port of Richmond,California,"23,544,415","11,239,776","2,865,906","14,105,682","9,438,733"
27,Port of Portland,Oregon,"23,427,235","3,545,488","11,490,879","15,036,367","8,390,868"
28,Port of Tacoma,Washington,"22,905,704","7,272,236","11,121,702","18,393,938","4,511,766"
29,Port Everglades,Florida,"21,702,940","8,329,969","3,520,011","11,849,980","9,852,960"
