"PORT_NAME","LATITUDE","LONGITUDE"
"convent",30.016667,-90.833333
"deer park",29.75,-95.333333
"st. james",29.983333,-90.933333
"southwest pass",28.45,-90.7
"tri-city port",38.716667,-90.2
"tern island",23.866667,-166.283333
"nonopapa",21.866667,-160.233333
"honokaa",20.1,-155.466667
"hilo",19.733333,-155.066667
"honuapo",19.083333,-155.55
"milolii",19.183333,-155.9
"kauhako bay",19.383333,-155.9
"napoopoo",19.483333,-155.933333
"kailua",19.633333,-156
"kiholo",19.866667,-155.95
"kawaihae",20.033333,-155.833333
"mahukona",20.183333,-155.9
"kahului",20.9,-156.466667
"hana",20.75,-155.983333
"lahaina",20.866667,-156.666667
"kaumalapau harbor",20.783333,-157
"pukoo",21.066667,-156.8
"kamalo",21.05,-156.883333
"kaunakakai",21.083333,-157.033333
"honolulu",21.3,-157.866667
"port allen",21.9,-159.583333
"nawiliwili bay",21.95,-159.35
"ahukini landing",22,-159.333333
"port moller",55.983333,-160.566667
"port heiden",56.883333,-158.7
"pilot point",57.566667,-157.6
"ugashik",57.533333,-157.416667
"egegik",58.2,-157.366667
"naknek",58.716667,-157.016667
"koggiung",58.966667,-156.916667
"ekuk",58.816667,-158.566667
"clarks point",58.85,-158.55
"dillingham",59.033333,-158.483333
"platinum",59.016667,-161.833333
"bethel",60.816667,-161.716667
"nash harbor",60.2,-166.983333
"kwiguk",62.733333,-164.466667
"kotlik",63.033333,-163.55
"hamilton",62.9,-163.916667
"st michael",63.483333,-162.033333
"unalakleet",63.883333,-160.783333
"solomon",64.55,-164.4
"nome",64.5,-165.416667
"grantley harbor",65.266667,-166.333333
"savoonga",63.683333,-170.4
"shishmaref",66.25,-166.083333
"deering",66.083333,-162.733333
"kotzebue",66.916667,-162.583333
"wainwright",70.65,-160
"barrow",71.283333,-156.783333
"prudhoe bay",70.333333,-148.416667
"bernard harbor",70.133333,-143.633333
"massacre bay",52.833333,173.233333
"village cove",57.133333,-170.266667
"san juan cannery",60.05,-148.066667
"latouche",60.05,-148.066667
"seward",60.1,-149.433333
"port graham",59.35,-151.816667
"seldovia",59.433333,-151.733333
"homer",59.6,-151.416667
"coal point",59.6,-151.416667
"ninilchik",60.05,-151.683333
"kenai",60.55,-151.266667
"nikiski",60.683333,-151.4
"anchorage",61.216667,-149.9
"drift river",60.55,-152.133333
"snug harbor",60.1,-152.583333
"ouzinkie",57.916667,-152.5
"kodiak",57.783333,-152.4
"womens bay",57.716667,-152.516667
"port hobron",57.166667,-153.166667
"mccord",57.15,-153.2
"three saints bay",57.116667,-153.5
"trap point",57,-154.15
"lazy bay",56.9,-154.25
"karluk",57.566667,-154.45
"uyak",57.633333,-154
"larsen bay",57.533333,-153.983333
"port obrien",57.733333,-153.316667
"dry spruce bay",57.933333,-153.033333
"port vita",58.066667,-153.066667
"bear island",58.45,-152.683333
"hogg island",58.466667,-152.683333
"port william",58.483333,-152.583333
"kanatak",57.566667,-156.033333
"chignik",56.3,-158.4
"ivanof bay",55.8,-159.466667
"sand point",55.333333,-160.533333
"baralof bay",55.233333,-160.533333
"belkofski",55.083333,-162.033333
"king cove",55.05,-162.316667
"cold bay",55.2,-162.7
"sanak",54.483333,-162.816667
"cannery bay",53.7,-166.75
"makushin",53.766667,-166.983333
"dutch harbor",53.9,-166.533333
"unalaska",53.866667,-166.533333
"palisades point",52.233333,-174.166667
"constantine harbor",51.4,179.3
"kiska",51.966667,177.55
"alcan harbor",52.733333,174.066667
"whittier",60.833333,-148.666667
"crab bay",60.066667,-148
"port ashton",60.066667,-148.05
"skoot cove",52.716667,174.066667
"ketchikan",55.333333,-131.65
"ward cove",55.4,-131.733333
"knudson cove",55.466667,-131.8
"loring",55.6,-131.633333
"yes bay",55.916667,-131.8
"union bay",55.766667,-132.216667
"burnett inlet",56.066667,-132.466667
"wrangell",56.466667,-132.383333
"kasaan",55.533333,-132.4
"rose inlet",54.95,-132.966667
"hydaburg",55.2,-132.833333
"waterfall",55.3,-133.233333
"craig",55.466667,-133.15
"klawock",55.55,-133.1
"steamboat bay",55.533333,-133.633333
"fishermans harbor",55.966667,-133.8
"petersburg",56.816667,-132.95
"kake",56.966667,-133.933333
"washington bay",56.733333,-134.35
"bay of pillars",56.6,-134.233333
"big port walter",56.383333,-134.733333
"little port walter",56.383333,-134.633333
"port armstrong",56.3,-134.666667
"port conclusion",56.25,-134.683333
"port alexander",56.25,-134.65
"sitka",57.05,-135.333333
"kimshan cove",57.683333,-136.116667
"pelican",57.966667,-136.233333
"elfin cove",58.2,-136.35
"hoonah",58.116667,-135.45
"tenakee springs",57.783333,-135.2
"chatham",57.516667,-134.933333
"todd",57.466667,-135.05
"hood bay",57.4,-134.5
"hawk inlet",58.116667,-134.75
"funter",58.25,-134.9
"dupont",58.233333,-134.266667
"juneau",58.3,-134.416667
"haines",59.233333,-135.433333
"tanani point",59.283333,-135.45
"skagway",59.45,-135.333333
"letnikof cove",59.183333,-135.4
"excursion inlet",58.416667,-135.45
"yakutat",59.55,-139.733333
"katalla",60.2,-144.533333
"cordova",60.55,-145.766667
"shepard point",60.633333,-145.666667
"swanport",61.083333,-146.4
"metlakatla",55.133333,-131.566667
"george inlet",55.383333,-131.466667
"valdez",61.116667,-146.25
"hyder",55.916667,-130
"hidden inlet",54.95,-130.333333
"roche  harbor",48.616667,-123.166667
"orcas",48.6,-122.933333
"anacortes",48.516667,-122.616667
"bellingham",48.75,-122.5
"cherry point",48.866667,-122.75
"semiahmoo",48.983333,-122.766667
"blaine",49,-122.75
"friday harbor",48.533333,-123.016667
"westport",46.133333,-123.383333
"rainier",46.083333,-122.933333
"longview",46.133333,-122.933333
"kalama",46.016667,-122.85
"st helens",45.866667,-122.8
"portland",45.516667,-122.666667
"vancouver",45.633333,-122.683333
"camas",45.583333,-122.4
"washougal",45.583333,-122.35
"the dalles",45.6,-121.183333
"nahcotta",46.5,-124.033333
"south bend",46.666667,-123.783333
"raymond",46.683333,-123.733333
"willapa harbor",46.683333,-123.75
"westhaven cove",46.916667,-124.116667
"bay city",46.866667,-124.066667
"aberdeen",46.983333,-123.816667
"hoquiam",46.966667,-123.9
"la push",47.9,-124.633333
"neah bay",48.366667,-124.616667
"sekiu",48.266667,-124.3
"port angeles",48.116667,-123.433333
"port townsend",48.116667,-122.75
"glen cove",48.083333,-122.783333
"hoodsport",47.416667,-123.133333
"port gamble",47.85,-122.583333
"poulsbo",47.733333,-122.65
"keyport",47.7,-122.616667
"winslow",47.616667,-122.516667
"creosote",47.616667,-122.5
"fort ward",47.583333,-122.516667
"east bremerton",47.566667,-122.616667
"silverdale",47.65,-122.7
"bremerton",47.566667,-122.65
"port orchard",47.533333,-122.633333
"quartermaster harbor",47.383333,-122.466667
"shelton",47.216667,-123.1
"olympia",47.05,-122.9
"nisqually head",47.116667,-122.75
"tacoma",47.283333,-122.416667
"seattle",47.6,-122.333333
"point wells",47.783333,-122.4
"edwards point",47.8,-122.4
"mukilteo",47.95,-122.3
"everett",48,-122.216667
"coupeville",48.233333,-122.683333
"richardson",48.45,-122.9
"warrenton",46.166667,-123.916667
"astoria",46.2,-123.833333
"tongue point",46.2,-123.75
"san francisco",37.816667,-122.416667
"yerbabuena island",37.816667,-122.366667
"redwood city",37.533333,-122.2
"alameda",37.783333,-122.266667
"oakland",37.816667,-122.333333
"berkeley",37.866667,-122.3
"point richmond",37.916667,-122.366667
"point san pablo",37.966667,-122.433333
"sausalito",37.85,-122.483333
"pinole point",38.016667,-122.366667
"oleum",38.05,-122.266667
"mare island",38.1,-122.266667
"south vallejo",38.083333,-122.25
