state,price,spaceAvailable,address
AK,1.16,9000,10
AL,0.47,79000,115
AR,0.39,46100,78
AZ,0.78,37600,377
CA,1.23,20400,697
CO,0.85,67500,224
CT,0.72,48400,118
DE,0.7,29600,75
FL,0.92,18900,422
GA,0.57,51600,475
HI,1.35,11300,121
IA,0.52,50200,126
ID,0.59,28100,66
IL,0.78,38000,504
IN,0.52,69600,300
KS,0.53,39000,197
KY,0.49,92100,127
LA,0.58,30500,121
MA,0.87,42700,436
MD,0.79,49800,444
ME,0.65,24600,23
MI,0.62,35600,478
MN,0.61,47000,174
MO,0.55,50600,341
MS,0.51,89000,61
MT,0.72,14500,21
NC,0.54,57100,416
ND,0.68,20000,48
NE,0.49,32600,38
NH,0.7,61500,57
NJ,0.91,35900,505
NM,0.69,32800,36
NV,0.79,66700,189
NY,1.34,26900,473
OH,0.49,51200,506
OK,0.55,27200,180
OR,0.88,21700,270
PA,0.62,69800,497
RI,0.67,22500,49
SC,0.5,69400,252
SD,0.56,14600,26
TN,0.6,68100,223
TX,0.75,50900,1031
UT,0.71,34800,206
VA,0.62,33000,116
VT,0.7,21500,13
WA,0.86,34400,297
WI,0.45,73100,229
WY,0.83,16100,25
