address,amenities,buildingSize,city,extraInfo,highlights,hoodMarket,listingDate,listingID,price,propOverview,propType,spaceAvailable,spaceBullets,spaceSummary,spaces,state,status,subType,transport,utilities
5075 W Diablo Dr,"Bus Line,Signage","77,554 SF",Las Vegas,"Rental Rate,$15.00 /SF/YR,Rentable Building Area,77,554 SF,Property Type,Industrial,Year Built,2002,Property Subtype,Warehouse,Cross Streets,Decatur",,,4/15/2020,19237496,$1.25 SF/Mo,"5075 West Diablo Drive is located within Westech Business Center II in the southwest submarket. This project enjoys convenient access to the I-215 Beltway via South Decatur Boulevard and the I-15 freeway via West Russell Road. 5075 West Diablo Drive is a ±20,300 square foot suite with upgraded finishes throughout. The property is located ±2 miles west of the Las Vegas Strip, the new Allegiant Stadium and is minutes away from McCarran International Airport. It is central to employees living in either Henderson or the Summerlin area. 5075 West Diablo Drive also enjoys close proximity to amenities such as Chevron, Iron Addicts Gym - Las Vegas, O’Reilly Auto Parts, Farmer Boys, Port of Subs and many other dining options.",Industrial,"20,300 SF","Sublease space available from current tenant,Fits 51 - 163 People,3 Conference Rooms,Lease rate does not include utilities, property expenses or building services,18 Private Offices",,1 Space,NV,For Lease,Office,"[('McCarran International Airport', '13 min drive', '5.6 mi'), ('North Las Vegas Airport', '19 min drive', '8.7 mi'), ('Henderson Airport', '22 min drive', '12.6 mi'), ('Port of Long Beach', '312 min drive', '278.0 mi'), ('UP-LAS VEGAS-NV', '12 min drive', '7.2 mi')]",
5840 Donovan Way,,"191,026 SF",Las Vegas,"Property Type,Industrial,Year Built,2017,Property Subtype,Warehouse,Cross Streets,HWY I-15,Rentable Building Area,191,026 SF","±95,513 SF Available,Clear height 32',277/480v, 3-phase power,Office BTS,(19) dock doors; (2) ramp to grade doors,Ready for Tenant improvements",,10/9/2019,10903681,Rent Upon Request,"Northgate Distribution Center Building #5 is a ±191,026 SF freestanding rear loaded building with ±95,513 SF vacant. The building is currently in shell condition with BTS office space. The warehouse features 32' minimum clear height, ESFR sprinkler system and 2% skylights.",Industrial,"95,513 SF","2 Drive Ins,19 Loading Docks","Suite 101 is ±95,513 SF. Office BTS. 32' clear height. 19 doick doors. 2 ramp to grade level doors. 277/480 v, 3-phase power. ESFR fire sprinklers. ±50' x ±52' typical column spacing. 6"" reinforced concrete slab. 2% skylights. Ready for tenant improvements.",1 Space,NV,For Lease,Industrial,"[('North Las Vegas Airport', '19 min drive', '10.2 mi'), ('McCarran International Airport', '26 min drive', '16.0 mi'), ('Henderson Airport', '38 min drive', '25.5 mi'), ('Port of Long Beach', '325 min drive', '290.6 mi'), ('UP-LAS VEGAS-NV', '17 min drive', '9.2 mi')]",
4114 N Pecos Rd,"24 Hour Access,Bus Line,Signage,Storage Space,Air Conditioning","43,692 SF",Las Vegas,"Rental Rate,$7.92 /SF/YR,Rentable Building Area,43,692 SF,Property Type,Industrial,Year Built,1999,Property Subtype,Warehouse","±6,214 – 11,094 SF available,Dock & grade level loading,Fire Sprinklers,Turn-key office build-outs,24’ clear height",,9/30/2019,16857651,$0.66 SF/Mo,"SILVERADO BUSINESS PARK is a multi-tenant industrial project located in the North Las Vegas Submarket with immediate access to the I-15 Freeway via Craig Rd.
±6,214 – 11,094 SF available. Turn-key office build-outs. Dock & grade level loading. 24’ clear height. LED warehouse lighting. White painted warehouse walls. Fire sprinklers.
OVERALL PROJECT IMPROVEMENTS
New exterior building paint
New landscaping
New monument signage
New parking lot – Repair and Re-slurry asphalt
INDIVIDUAL SUITE IMPROVEMENTS
New paint
New carpet
White painted warehouse walls
LED warehouse lighting",Industrial,"6,214 - 12,505 SF","Lease rate does not include utilities, property expenses or building services,1 Loading Dock,1 Drive In Bay,Lease rate does not include utilities, property expenses or building services,1 Loading Dock,1 Drive In Bay","±6,291 SF total, office SF TBD, 24' clear height, (1) dock door, (1) grade door. Fire sprinklers.,±6,214 SF total, office SF TBD, 24' clear height, (1) dock door, (1) grade door. Fire sprinklers.",2 Spaces,NV,For Lease,Industrial,"[('North Las Vegas Airport', '16 min drive', '9.0 mi'), ('McCarran International Airport', '23 min drive', '14.7 mi'), ('Henderson Airport', '35 min drive', '24.2 mi'), ('Port of Long Beach', '323 min drive', '289.3 mi'), ('UP-LAS VEGAS-NV', '14 min drive', '7.9 mi')]","Lighting,Gas - Natural,Water,Sewer,Heating"
3301-3327 Western Ave,24 Hour Access,"32,630 SF",Las Vegas,"Property Type,Industrial,Year Built,1979,Property Subtype,Warehouse,Cross Streets,W Desert Inn Rd,Rentable Building Area,32,630 SF",,,1/17/2020,18223173,Rent Upon Request,"Excellent location with drive by and foot traffic.  Ample parking, walking distance to local businesses and restaurants.",Industrial,"3,500 SF","Rate includes utilities, building services and property expenses,Major intersection with drive by exposure,Walking distance to local restaurant & businesses,Great location,Ample parking",,1 Space,NV,For Lease,Industrial,"[('McCarran International Airport', '11 min drive', '4.5 mi'), ('North Las Vegas Airport', '15 min drive', '7.1 mi'), ('Henderson Airport', '24 min drive', '14.3 mi'), ('Port of Long Beach', '312 min drive', '279.4 mi'), ('UP-LAS VEGAS-NV', '7 min drive', '3.8 mi')]",
2400 Tampa Way,Fenced Lot,"61,200 SF",Reno,"Rental Rate,$10.20 - $12.52 /SF/YR,Property Type,Industrial,Total Space Available,2,638 SF,Property Subtype,Warehouse,Showroom,Min. Divisible,182 SF,Rentable Building Area,61,200 SF,Max. Contiguous,235 SF,Year Built,1950","Easy access to entire Reno/Sparks Basin,Common interests with adjacent,Ample Parking,Close to other services and Downtown,Variety of Spaces Available - Offices, Warehouses, Yard Rentals,Newly Renovated",,4/8/2020,4139573,$0.85 - $1.04 SF/Mo,"Industrial park with warehouse and office space.  Yard space also available with either warehouse or office space lease.
Centrally located. Good freeway access to I-80- and 395",Industrial,"182 - 2,638 SF","Rate includes utilities, building services and property expenses,Can be combined with additional space(s) for up to 235 SF of adjacent space,Fits 1 - 2 People,Rate includes utilities, building services and property expenses,Includes 194 SF of dedicated office space,Rate includes utilities, building services and property expenses,Includes 182 SF of dedicated office space,Rate includes utilities, building services and property expenses,Includes 298 SF of dedicated office space,Fully Built Out as Standard Office,Fits 4 - 14 People,Fully Carpeted,Office intensive layout,Central Air Conditioning,Drop Ceilings","Can be combined with #101 For 1772 +/- SF,Reasonable office space located near UNR.",5 Spaces,NV,For Lease,"Office, Industrial","[('Reno–Tahoe International Airport', '26 min drive', '7.3 mi'), ('Port of Richmond', '249 min drive', '209.0 mi'), ('UP-RENO-NV', '7 min drive', '3.0 mi')]",
507-511 45th St,"24 Hour Access,Bio-Tech/ Lab Space,Fitness Center,Front Loading,Security System,Signage","9,600 SF",Union City,"Rental Rate,$25.00 /SF/YR,Rentable Building Area,9,600 SF,Property Type,Industrial,Year Built,1980,Property Subtype,Warehouse","HEAVY DAYTIME FOOT TRAFFIC,NEAR NYC TRANSPORTATION,LOTS OF NATURAL LIGHT, HIGH CEILING, NEW BATHROOMS,NEW MARBLE FLOORS , 2 - 12' DOUBLE GLASS DOOR EXITS.",,3/3/2020,18727927,$2.08 SF/Mo,"THE FIRST FLOOR 4,500 SF IS AVAILABLE FOR LEASE, VACANT, MOVE -IN CODITION, IDEAL FOR MEDICAL OFFICE, LAB, ANY KIND OF CLINICAL SERVICE, COMMERCIAL OFFICE AND RETAIL USE.  CONVENIENTLY LOCATED JUST MINUTE AWAY FROM JFK BLVD AND WALKING DISTANCE TO NYC BUSES AND TRAIN.  GREAT EXPOSURE NEAR THE CORNER OF BERGENLINE AVE.
This 9,600 square foot industrial warehouse property was built in 19980 and features one drive in bay, 3 phase power with rail access, wet sprinkler system and four parking spaces.  Property amenities also include",Industrial,"4,500 SF","Rate includes utilities, building services and property expenses","THE FIRST FLOOR 4,500 SF IS AVAILABLE FOR LEASE, VACANT, MOVE -IN CODITION, IDEAL FOR MEDICAL OFFICE, LAB, ANY KIND OF CLINICAL SERVICE, COMMERCIAL OFFICE AND RETAIL USE.  CONVENIENTLY LOCATED JUST MINUTE AWAY FROM JFK BLVD AND WALKING DISTANCE TO NYC BUSES AND TRAIN.  GREAT EXPOSURE NEAR THE CORNER OF BERGENLINE AVE.",1 Space,NJ,For Lease,Office/Retail,,"Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Gas"
195 Lehigh Ave,24 Hour Access,"98,000 SF",Lakewood,"Min. Divisible,1,200 SF,Rentable Building Area,98,000 SF,Property Type,Industrial,Year Built,1989,Property Subtype,Warehouse,Office Building","Close to both north and south access for the Garden State Parkway. Easy access to RT 70, RT 9, RT 88",,2/28/2020,4018989,Rent Upon Request,Lakewood Industrial Park - minutes to NJ Parkway.,Industrial,"1,200 - 21,975 SF","1 Loading Dock,1 Loading Dock,Private Restrooms,Partitioned Offices,Shower Facilities,Includes 200 SF of dedicated office space,1 Drive In Bay,Space is in Excellent Condition,Private Restrooms,2 Loading Docks","High ceilings,  office, and a loading dock.,One loading dock, 21 -22 ft ceiling ht, office with 2 private offices , 2 bathrooms, one has a shower.,Drive in door
Small office
16 ft ceiling",4 Spaces,NJ,For Lease,Industrial,"[('Point Pleasant Beach Commuter Rail (North Jersey Coast Line)', '15 min drive', '8.6 mi'), ('Bay Head Commuter Rail (North Jersey Coast Line)', '14 min drive', '9.1 mi'), ('New York Container Terminal', '65 min drive', '47.7 mi'), ('National Distribution Centers', '49 min drive', '29.1 mi')]","Lighting,Gas,Water,Sewer,Heating"
1110 Springfield Rd,Fenced Lot,"91,675 SF",Union,"Property Type,Industrial,Rentable Building Area,91,675 SF,Property Subtype,Warehouse,Year Built/Renovated,1934/1996",,,9/25/2019,12582224,Rent Upon Request,"This 91,000 SF office industrial warehouse building has a 20' clear height, 3 drive-ins, 3 exterior loading docks and Heavy power.  The lot is fenced and it sits on just over 5 Acres of land.",Industrial,"1,800 SF","Fits 5 - 15 People,Can be combined with additional space(s) for up to 1,800 SF of adjacent space",Prebuilt unit ready for occupancy.  Private off and reception area available with a private entrance and bathroom.  Ample parking just off Route 22 that has exceptional visbility.,1 Space,NJ,For Lease,Office,"[('Millburn Commuter Rail (Morris & Essex Morristown Line, Morris & Essex Gladstone Branch)', '8 min drive', '3.1 mi'), ('Short Hills Commuter Rail (Morris & Essex Morristown Line, Morris & Essex Gladstone Branch)', '10 min drive', '4.0 mi'), ('Newark Liberty International Airport', '21 min drive', '9.9 mi'), ('La Guardia Airport', '42 min drive', '30.1 mi'), ('John F. Kennedy International Airport', '51 min drive', '33.2 mi'), ('Maher Terminal', '16 min drive', '10.4 mi'), ('NS CONNECTING LINE BULK TRANSFER TERMINAL-ELIZABET', '16 min drive', '7.5 mi')]","Water - City Water,Sewer - City Sewer,Heating - Gas"
250 North St,,"10,000 SF",Teterboro,"Property Type,Industrial,Rentable Building Area,10,000 SF,Property Subtype,Warehouse,Year Built,1946","Free Standing building with extra parking,Immediately available",,4/25/2019,15831462,Rent Upon Request,"Immediate occupancy, long term lease available with ownership",Industrial,"10,000 SF","Sublease space available from current tenant,Space is in Excellent Condition,Includes 2,000 SF of dedicated office space,2 Loading Docks",,1 Space,NJ,For Lease,Industrial,"[('Teterboro Commuter Rail (Pascack Valley Line)', '13 min walk', '0.6 mi'), ('Essex Street Commuter Rail (Pascack Valley Line)', '5 min drive', '1.7 mi'), ('La Guardia Airport', '26 min drive', '17.1 mi'), ('Newark Liberty International Airport', '33 min drive', '18.3 mi'), ('John F. Kennedy International Airport', '38 min drive', '28.4 mi'), ('NY - Red Hook Container Terminal', '31 min drive', '18.3 mi'), ('Marschall Warehouse', '3 min drive', '0.9 mi')]","Water - City Water,Sewer - City Sewer,Heating - Gas"
5030 Shafto Rd,,"67,783 SF",Tinton Falls,"Min. Divisible,6,390 SF,Rentable Building Area,67,783 SF,Property Type,Industrial,Year Built,2020,Property Subtype,Warehouse,Construction Status,Under Construction","Class A Warehouse,Up to 3,200 SF office included,Owner willing to negotiate inclusion of racking,42,000 SF pre-leased,Laser screed slab",,9/11/2019,17165465,Rent Upon Request,"New Construction with Expected Delivery in May 2020
Zoned IOP (Industrial Office Park)
Situated on border of Eatontown Industrial Park
Located within minutes of Exit 105 of the Garden State Parkway
Easy accessibility from Routes 18 & 35",Industrial,"6,390 - 25,598 SF","New space, never previously occupied",,1 Space,NJ,For Lease,Industrial,"[('Little Silver Commuter Rail (North Jersey Coast Line)', '10 min drive', '4.8 mi'), ('Monmouth Park Commuter Rail (North Jersey Coast Line)', '9 min drive', '5.2 mi')]",
