address,amenities,buildingSize,city,extraInfo,highlights,hoodMarket,listingDate,listingID,price,propOverview,propType,spaceAvailable,spaceBullets,spaceSummary,spaces,state,status,subType,transport,utilities
2075 W Raymond St,"Fenced Lot,Property Manager on Site","16,340 SF",Indianapolis,"Rental Rate,$6.50 /SF/YR,Rentable Building Area,16,340 SF,Property Type,Industrial,Year Built,1969,Property Subtype,Manufacturing",,,5/16/2019,16066547,$0.54 SF/Mo,,Industrial,"16,340 SF","Lease rate does not include utilities, property expenses or building services,1 Drive In Bay,Includes 4,160 SF of dedicated office space,3 Loading Docks",,1 Space,IN,For Lease,Industrial,"[('Indianapolis International Airport', '19 min drive', '10.2 mi'), ('Virginia Port Authority - Richmond', '718 min drive', '632.6 mi'), ('NATIONAL STARCH AND CHEMICAL CO.-INDIANAPOLIS-IN', '6 min drive', '2.2 mi')]",
4201 Millersville Rd,"Fenced Lot,Signage,Yard","70,000 SF",Indianapolis,"Rental Rate,$8.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,110 SF,Rentable Building Area,70,000 SF,Property Type,Industrial,Year Built,1904",,,10/16/2019,16152688,$0.67 SF/Mo,,Industrial,"110 - 5,900 SF","Lease rate does not include utilities, property expenses or building services,Open Floor Plan Layout,Fully Built Out as Standard Office,Can be combined with additional space(s) for up to 5,900 SF of adjacent space,Rate includes utilities, building services and property expenses,Open Floor Plan Layout,Fully Built Out as Standard Office,Can be combined with additional space(s) for up to 5,900 SF of adjacent space",,2 Spaces,IN,For Lease,Office,"[('Indianapolis International Airport', '36 min drive', '20.2 mi'), ('Virginia Port Authority - Richmond', '713 min drive', '627.5 mi'), ('CENTRAL SOYA CO. INC-INDIANAPOLIS-IN', '14 min drive', '6.0 mi')]",
4810-4840 E 23rd St,"24 Hour Access,Storage Space,Air Conditioning","78,042 SF",Indianapolis,"Rental Rate,$4.50 - $5.50 /SF/YR,Property Subtype,Warehouse,Min. Divisible,1,448 SF,Rentable Building Area,78,042 SF,Property Type,Industrial,Year Built,1968",,,4/20/2020,16549506,$0.38 - $0.46 SF/Mo,"With over 81,000 rentable square feet, Pogue' s Run Business Park provides a safe, clean, affordable workspace for commercial business tenants giving them the opportunity to present themselves professionally, without the costs associated with building, operating, and maintaining their own building.",Industrial,"1,448 - 15,019 SF","Lease rate does not include utilities, property expenses or building services,Lease rate does not include utilities, property expenses or building services,Lease rate does not include utilities, property expenses or building services,1 Drive In Bay,Lease rate does not include utilities, property expenses or building services,Lease rate does not include utilities, property expenses or building services,Space In Need of Renovation",,5 Spaces,IN,For Lease,Industrial,,"Lighting,Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Gas"
2311 Valley Ave,,"11,400 SF",Indianapolis,"Rental Rate,$6.00 /SF/YR,Rentable Building Area,11,400 SF,Property Type,Industrial,Year Built,1951,Property Subtype,Warehouse","Renovated for Storage and Warehousing,Located less than 1 mile from I-70 and less than 3 miles from downtown Indy,Additional warehouse space and land for outdoor storage or build to suit opportunity",,8/4/2019,16805236,$0.50 SF/Mo,,Industrial,"9,250 SF","Listed rate may not include certain utilities, building services and property expenses",,1 Space,IN,For Lease,Industrial,"[('Indianapolis International Airport', '31 min drive', '18.3 mi'), ('Virginia Port Authority - Richmond', '707 min drive', '625.8 mi'), ('Indiana Rail Road Company, The', '8 min drive', '3.2 mi')]",
7707 Records St,,"20,098 SF",Indianapolis,"Rental Rate,$4.50 /SF/YR,Rentable Building Area,20,098 SF,Property Type,Industrial,Year Built,1962,Property Subtype,Warehouse",,,8/7/2019,16840085,$0.38 SF/Mo,"20,098 SF with +/- 5,000 SF office 
1 dock platform and 2 drive-in doors
Zoned I-3
1.5 / 1,000 parking ratio",Industrial,"20,098 SF","Lease rate does not include utilities, property expenses or building services,2 Drive Ins,Includes 5,000 SF of dedicated office space,1 Loading Dock","20,098 SF with +/- 5,000 SF office
Three additional storage sheds included
1 exterior well dock and 2 drive-in doors
Zoned I-3 which permits outdoor storage
1.5 / 1,000 parking ratio",1 Space,IN,For Lease,Industrial,,
8501 W Thompson Rd,,"244,622 SF",Indianapolis,"Rental Rate,$4.95 /SF/YR,Year Built,2020,Property Type,Industrial,Construction Status,Under Construction,Rentable Building Area,244,622 SF",,,9/3/2019,17093316,$0.41 SF/Mo,,Industrial,"244,622 SF","New space, never previously occupied,2 Drive Ins,Lease rate does not include utilities, property expenses or building services,23 Loading Docks",,1 Space,IN,For Lease,Industrial,,
1702 S Belmont Ave,"Fenced Lot,Yard","15,600 SF",Indianapolis,"Rental Rate,$10.00 /SF/YR,Rentable Building Area,15,600 SF,Property Type,Industrial,Year Built,1966,Property Subtype,Truck Terminal",,,9/23/2019,17272031,$0.83 SF/Mo,"± 10,900 SF available for lease
± 900 SF office
Space is divisible
12’ clear height
44 dock doors
Additional trailer parking available
Secured lot
1.3 miles from I-70",Industrial,"10,900 SF","Listed rate may not include certain utilities, building services and property expenses,Includes 900 SF of dedicated office space",,1 Space,IN,For Lease,Industrial,"[('Indianapolis International Airport', '19 min drive', '10.5 mi'), ('Virginia Port Authority - Richmond', '718 min drive', '632.4 mi'), ('NATIONAL STARCH AND CHEMICAL CO.-INDIANAPOLIS-IN', '5 min drive', '2.1 mi')]","Water - City Water,Sewer - City Sewer"
10640 E 59th St,,"68,965 SF",Indianapolis,"Rental Rate,$8.00 /SF/YR,Rentable Building Area,68,965 SF,Property Type,Industrial,Year Built,1978,Property Subtype,Manufacturing",,,9/30/2019,17329031,$0.67 SF/Mo,Northeast Indy warehouse-office space.,Industrial,"6,678 SF","Listed rate may not include certain utilities, building services and property expenses,Can be combined with additional space(s) for up to 6,678 SF of adjacent space","2,278 SF office; 4,400 SF warehouse",1 Space,IN,For Lease,Industrial,"[('Indianapolis International Airport', '45 min drive', '26.7 mi'), ('Virginia Port Authority - Richmond', '708 min drive', '620.7 mi'), ('H & H Steel', '3 min drive', '1.0 mi')]",
3617-3633 E Raymond St,Air Conditioning,"24,230 SF",Indianapolis,"Rental Rate,$4.00 /SF/YR,Rentable Building Area,24,230 SF,Property Type,Industrial,Year Built,1973,Property Subtype,Warehouse",,,12/4/2019,17338979,$0.33 SF/Mo,,Industrial,"7,500 SF","Listed lease rate plus proportional share of utilities,3 Loading Docks",Great Industrial warehouse/ flex space available with 3 loading dock door. Could build-to-suit if the tenant needs office space,1 Space,IN,For Lease,Industrial,"[('Indianapolis International Airport', '26 min drive', '15.1 mi'), ('Virginia Port Authority - Richmond', '714 min drive', '629.0 mi'), ('ADM/COUNTRYMARK, INC.-INDIANAPOLIS-IN', '2 min drive', '0.6 mi')]","Lighting,Gas,Water,Sewer,Heating"
2400 Roosevelt Ave,,"33,400 SF",Indianapolis,"Rental Rate,$5.50 /SF/YR,Rentable Building Area,33,400 SF,Property Type,Industrial,Year Built,1980,Property Subtype,Warehouse",,,10/7/2019,17388631,$0.46 SF/Mo,,Industrial,"9,300 SF","Listed rate may not include certain utilities, building services and property expenses,1 Loading Dock,Includes 870 SF of dedicated office space",One drive-in door can be added,1 Space,IN,For Lease,Industrial,"[('Indianapolis International Airport', '32 min drive', '18.4 mi'), ('Virginia Port Authority - Richmond', '708 min drive', '625.9 mi'), ('Indiana Rail Road Company, The', '9 min drive', '3.3 mi')]","Lighting - Fluorescent,Gas,Water,Sewer,Heating"
