address,amenities,buildingSize,city,extraInfo,highlights,hoodMarket,listingDate,listingID,price,propOverview,propType,spaceAvailable,spaceBullets,spaceSummary,spaces,state,status,subType,transport,utilities
2925 S Cole Rd,,"54,000 SF",Boise,"Rental Rate,$7.80 /SF/YR,Rentable Building Area,54,000 SF,Property Type,Industrial,Year Built,1989,Property Subtype,Warehouse",,,4/11/2019,4193020,$0.65 SF/Mo,"Convenient location near Cole and Victory,and easy access to the Cole/Overland I-84 Interchange (exit 50).",Industrial,"11,958 SF","Lease rate does not include utilities, property expenses or building services,2 Loading Docks,1 Drive In Bay,
                                                    ,
                                                ","All warehouse.  Two dock, and one drive in door.  1 private office and 2x restrooms. Close I-84 access.",1 Space,ID,For Lease,Industrial,"[('Boise Airport', '13 min drive', '4.4 mi'), ('Port of Portland', '479 min drive', '429.9 mi'), ('PEASLEY TRANSFER AND STORAGE CO.-BOISE-ID', '7 min drive', '3.0 mi')]",
1750-1790 E State St,,"15,500 SF",Eagle,"Rental Rate,$9.00 - $9.60 /SF/YR,Rentable Building Area,15,500 SF,Property Type,Industrial,Year Built,1991,Property Subtype,Warehouse",,,2/14/2020,18524234,$0.75 - $0.80 SF/Mo,,Industrial,"1,440 - 4,320 SF","Listed rate may not include certain utilities, building services and property expenses,Listed rate may not include certain utilities, building services and property expenses",,2 Spaces,ID,For Lease,Industrial,"[('Boise Airport', '31 min drive', '17.6 mi'), ('Port of Portland', '479 min drive', '425.7 mi'), ('PEASLEY TRANSFER AND STORAGE CO.-BOISE-ID', '18 min drive', '8.3 mi')]",
114 Simplot Blvd,,"7,000 SF",Caldwell,"Rental Rate,$5.40 /SF/YR,Rentable Building Area,7,000 SF,Property Type,Industrial,Year Built,1980,Property Subtype,Warehouse",,,2/26/2020,18655500,$0.45 SF/Mo,,Industrial,"600 - 6,400 SF","Lease rate does not include utilities, property expenses or building services,Lease rate does not include utilities, property expenses or building services,Lease rate does not include utilities, property expenses or building services","Available immediately.
Easy access to I-84 via Simplot Boulevard.
Prominent tenant visibility and signage.
Drive-thru capability.
Site also available for potential build to suit.
Available spaces from 600 SF to 3,800 SF.,Available immediately.
Easy access to I-84 via Simplot Boulevard.
Prominent tenant visibility and signage.
Drive-thru capability.
Site also available for potential build to suit.
Available spaces from 600 SF to 3,800 SF.,Available immediately.
Easy access to I-84 via Simplot Boulevard.
Prominent tenant visibility and signage.
Drive-thru capability.
Site also available for potential build to suit.
Available spaces from 600 SF to 3,800 SF.",3 Spaces,ID,For Lease,Industrial,"[('Boise Airport', '41 min drive', '29.2 mi'), ('Port of Portland', '452 min drive', '406.4 mi'), ('UP-NAMPA-ID', '14 min drive', '10.2 mi')]","Lighting,Water"
15-33 N Phillippi St,,"86,400 SF",Boise,"Rental Rate,$5.40 /SF/YR,Rentable Building Area,86,400 SF,Property Type,Industrial,Year Built,2006,Property Subtype,Warehouse","A large, concrete tilt-up industrial building located in the center of Boise,One (1) ramped loading door,Fully sprinklered,Two (2) dock-high loading doors,Rail service potential,Presently Occupied; available with 30 day notice",,3/9/2020,18803259,$0.45 SF/Mo,"This industrial building has office and warehouse space, located in the center of Boise",Industrial,"11,995 SF","Lease rate does not include utilities, property expenses or building services,Includes 1,000 SF of dedicated office space",,1 Space,ID,For Lease,Industrial,"[('Boise Airport', '15 min drive', '5.3 mi'), ('Port of Portland', '480 min drive', '430.2 mi'), ('PEASLEY TRANSFER AND STORAGE CO.-BOISE-ID', '1 min drive', '0.3 mi')]",
208 Phoenix Ln,Storage Space,"12,021 SF",Caldwell,"Rental Rate,$7.80 /SF/YR,Rentable Building Area,12,021 SF,Property Type,Industrial,Year Built,2018,Property Subtype,Warehouse","New construction industrial.,Easy access to I-84, approximately 7 minutes away.,Close proximity to services.",,3/18/2020,18906710,$0.65 SF/Mo,,Industrial,"2,000 SF","Lease rate does not include utilities, property expenses or building services",,1 Space,ID,For Lease,Industrial,,"Lighting - Fluorescent,Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Gas"
1887 Highland Ave E,Signage,"16,200 SF",Twin Falls,"Rental Rate,$0.65 /SF/YR,Rentable Building Area,16,200 SF,Property Type,Industrial,Year Built,1974,Property Subtype,Warehouse,Cross Streets,Ste. 7 through 10",M2 Space On The Edge Of Town-Great Location,,3/20/2020,18910591,$0.05 SF/Mo,"2 Units available-
Unit 1    1,700 SF
Unit 2    1000 SF
See Flyer for more info",Industrial,"1,000 - 2,700 SF","Lease rate does not include utilities, property expenses or building services,Edge of town M2 space,Lease rate does not include utilities, property expenses or building services","Renovated 1998, plenty of parking, great location, multiple bays/suites available",2 Spaces,ID,For Lease,Industrial,"[('Joslin Field-Magic Valley Regional Airport', '25 min drive', '8.1 mi'), ('Port of Portland', '605 min drive', '559.4 mi'), ('PEASLEY TRANSFER AND STORAGE CO.-BOISE-ID', '133 min drive', '131.3 mi')]",
1170 Taylor Ave,Fenced Lot,"11,250 SF",Meridian,"Rental Rate,$0.75 /SF/YR,Rentable Building Area,11,250 SF,Property Type,Industrial,Year Built,2016,Property Subtype,Warehouse",,,3/23/2020,18960099,$0.06 SF/Mo,,Industrial,"3,768 SF","Lease rate does not include utilities, property expenses or building services",,1 Space,ID,For Lease,Industrial,"[('Boise Airport', '22 min drive', '12.5 mi'), ('Port of Portland', '472 min drive', '422.9 mi'), ('PEASLEY TRANSFER AND STORAGE CO.-BOISE-ID', '14 min drive', '9.8 mi')]",
1335 Enterprise St,Fenced Lot,"6,994 SF",Idaho Falls,"Rental Rate,$6.00 /SF/YR,Rentable Building Area,6,994 SF,Property Type,Industrial,Year Built,1978,Property Subtype,Warehouse","high traffic,excellent finishes,High visibility",,4/1/2020,19081477,$0.50 SF/Mo,"LEASE RATE IMPROVEMENT!!!!!!  
 This industrial flex building with just under 2000 square feet of office and open shop space is perfect to house your business. The office space is built out with no expense spared, the open reception and conference are inviting to clients and show an extreme amount of care. The Recent renovations of this excellent buildout are the best you will find at this price. All the doors and trim are dark stained alder and elevate the finishes in every office. Some of the high notes on this property are the upscale finishes inside and out, high visibility off of Yellowstone highway, and plenty of power for any of you shop needs. At one time this space was used as a cabinet shop and was completed with the three phase power and even a paint booth. The 14 foot overhead doors are set up as a pull through so work on large vehicles will be a breeze. Lots of storage above the offices and built out storage shelves in both warehouse spaces make this a natural space for work to happen. The excellent blended rate and the finishes in the office make this lease an easy choice if you are currently looking for a large space.",Industrial,"4,000 SF","Lease rate does not include utilities, property expenses or building services,High End Trophy Space,Reception Area,High Traffic,Includes 2,000 SF of dedicated office space,Central Air Conditioning,Closed Circuit Television Monitoring (CCTV),Trophy Finishes","New to lease in the market. This industrial flex building with just under 2000 square feet of office and open shop space is perfect to house your business. The office space is built out with no expense spared, the open reception and conference are inviting to clients and show an extreme amount of care. The Recent renovations of this excellent buildout are the best you will find at this price. All the doors and trim are dark stained alder and elevate the finishes in every office. Some of the high notes on this property are the upscale finishes inside and out, high visibility off of Yellowstone highway, and plenty of power for any of you shop needs. At one time this space was used as a cabinet shop and was completed with the three phase power and even a paint booth. The 14 foot overhead doors are set up as a pull through so work on large vehicles will be a breeze. Lots of storage above the offices and built out storage shelves in both warehouse spaces make this a natural space for work to happen. The excellent blended rate and the finishes in the office make this lease an easy choice if you are currently looking for a large space.

3d virtual tour Here: https://my.matterport.com/show/?m=Yqd2DDPJEJQ",1 Space,ID,For Lease,Flex,"[('Fanning Field Airport', '11 min drive', '4.6 mi'), ('Port of Portland', '749 min drive', '708.5 mi'), ('FIRTH MILLS-FIRTH-ID', '20 min drive', '12.9 mi')]",
511 E Karcher Rd,,"6,000 SF",Nampa,"Rental Rate,$7.32 /SF/YR,Property Subtype,Warehouse,Property Type,Industrial,Rentable Building Area,6,000 SF",,,4/2/2020,19089405,$0.61 SF/Mo,,Industrial,"3,000 SF","Lease rate does not include utilities, property expenses or building services","$1,850/ Month",1 Space,ID,For Lease,Industrial,"[('Boise Airport', '31 min drive', '20.2 mi'), ('Port of Portland', '460 min drive', '414.1 mi'), ('UP-NAMPA-ID', '4 min drive', '1.7 mi')]",
121 E 38th St,Signage,"14,000 SF",Garden City,"Property Type,Industrial,Rentable Building Area,14,000 SF,Property Subtype,Warehouse,Year Built,2000",,,4/7/2020,19138878,Rent Upon Request,"Zoned C-2, Warehouse with mezzanine office, Central Garden City location",Industrial,"1,650 SF","Mezzanine Office, 12' Overhead door","Class A complex, Mezzanine office, 12' Overhead door, Street sign display, Restroom, 18 month minimum term, No NNN",1 Space,ID,For Lease,Industrial,"[('Boise Airport', '18 min drive', '6.7 mi'), ('Port of Portland', '481 min drive', '431.5 mi'), ('PEASLEY TRANSFER AND STORAGE CO.-BOISE-ID', '5 min drive', '2.2 mi')]","Lighting,Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Gas"
